The tag-bigram has the form ti|ti-1, but it calculate P(ti−1, ti).
*|nns: 0.000803047846711239
abn|wrb: 0.0041274936941068565
dts|vbg: 0.002816577570845548
bez|rbr: 0.003469210754553339
dti|wrb: 0.00343957807842238
wrb|): 0.006772009029345372
cs|ber: 0.004466384579219558
cd|): 0.014898419864559819
cc|dti: 0.0042298202326401125
in-hl|nns-hl: 0.1791044776119403
np-tl-hl|in-hl: 0.004048582995951417
nn-hl|np-tl-hl: 0.2
.-hl|nn-hl: 0.09427374301675978
pps|.-hl: 0.020168067226890758
ap|hvz: 0.011700793982448809
ap-hl|in-hl: 0.008097165991902834
nns-hl|ap-hl: 0.2564102564102564
jj-hl|nns-hl: 0.01658374792703151
.|nn-hl: 0.00558659217877095
:|ber: 0.0030559473436765397
cd-hl|:: 0.012393998695368558
.-hl|cd-hl: 0.5148063781321185
cd|.-hl: 0.02689075630252101
in|.-hl: 0.12605042016806722
bez|): 0.026636568848758466
jj|wp$: 0.14227642276422764
)|np-tl: 0.0038590172369436584
np|.-hl: 0.030252100840336135
vbg|hv: 0.002628120893561104
np|ap: 0.009192170433654159
hv|nn-tl: 0.0011573181081706658
:-hl|nn-hl: 0.04329608938547486
nns-hl|:-hl: 0.014492753623188406
cc-hl|nns-hl: 0.04145936981757877
nns-hl|cc-hl: 0.17094017094017094
nns|nns-hl: 0.011608623548922056
at|.-hl: 0.16302521008403362
hvg|nns: 0.0003174840324207224
jj|hvg: 0.03663003663003663
rbt|vbn: 0.00014099400775467044
.|rbt: 0.09183673469387756
jj|rbr: 0.02168256721595837
nns-hl|.: 0.0023611347035841683
.-hl|nns-hl: 0.13266998341625208
cs|.-hl: 0.05546218487394958
vb|dts: 0.0068463842533162175
vbg-hl|.: 0.0009002887718702225
at-hl|vbg-hl: 0.08333333333333333
nns|nn-tl: 0.020831725947071986
od|.: 0.0008833021912688976
,|od: 0.046311254711900916
:|vb: 0.001471715468342787
or|jj: 1.610591248047158e-05
vbn|or: 0.0625
nn-hl|at-hl: 0.4953560371517028
vbn-hl|nn-hl: 0.024441340782122904
.-hl|vbn-hl: 0.05185185185185185
nn-hl|.: 0.0062510616612875824
jj-hl|in-hl: 0.07692307692307693
nn-hl|in-hl: 0.2692307692307692
nn-hl|nn-hl: 0.1424581005586592
hv|abx: 0.007032348804500703
dtx|,: 8.873114463176575e-05
md|abx: 0.0028129395218002813
(|,: 0.0008340727595385981
np|abx: 0.0450070323488045
nns-hl|vbg-hl: 0.2638888888888889
ber|vbn: 0.0012336975678533663
.|cd-tl: 0.17885264341957255
vbg-hl|in-hl: 0.04251012145748988
rb|nns-hl: 0.01990049751243781
ex|nns: 0.0005229148769282486
vbg|vbg: 0.0023567281715238257
ber|nn-tl: 0.0022374816757966204
np-tl|cd: 0.0009136592051164915
hv|wdt: 0.0076421248835041936
dti|nns: 0.0001867553131886602
cs|be: 0.006173842404549147
cs|cd: 0.00395918988883813
|nn: 8.10268806676615e-05
nn|: 0.6818181818181818
dts|): 0.0009029345372460496
jj|od: 0.046849757673667204
abn|vbg: 0.003218945795252055
wps|cd: 0.0038830516217450892
(|ppl: 0.002510460251046025
nns|(: 0.019945602901178604
rp|cd: 0.0012182122734886553
nn-tl|): 0.007223476297968397
(|jjr: 0.0026288117770767614
in|to: 0.0002774502323645696
np|np$: 0.022008803521408563
nn+nn-nc|cs: 4.663526558783752e-05
,|nn+nn-nc: 1.0
jj+jj-nc|,: 3.54924578527063e-05
,|jj+jj-nc: 1.0
ap+ap-nc|,: 1.774622892635315e-05
,|ap+ap-nc: 1.0
vb+jj-nc|,: 1.774622892635315e-05
,|vb+jj-nc: 1.0
vb+vb-nc|,: 1.774622892635315e-05
)|vb+vb-nc: 1.0
beg|cd: 0.00030455306837216383
rb|beg: 0.0547945205479452
vbz|cs: 0.001772140092337826
dti-tl|in-tl: 0.000697350069735007
np-tl|dti-tl: 0.5
(|nns-tl: 0.012143858010275572
np-tl|(: 0.001813236627379873
cd|np-tl: 0.0010290712631849757
np|cd: 0.010735495660118775
in-tl|in: 1.709854747839171e-05
jjr-tl|in-tl: 0.0020920502092050207
nn-tl|jjr-tl: 0.5333333333333333
,|ber: 0.01386929948283968
pp$$|cs: 0.0012125169052837755
(|pp$$: 0.00641025641025641
od|dt: 0.004247990815154994
'|(: 0.00045330915684496827
nns|': 0.03785488958990536
'|nns: 0.00029880850110185637
)|': 0.006309148264984227
hvg|cs: 0.0006062584526418878
'|pp$: 0.0001221075767751389
nn|': 0.11041009463722397
'|nn: 0.00031060304255936907
vbz|': 0.00946372239747634
to|od: 0.009154550350026925
.|hv: 0.004993429697766097
jjr|vbz: 0.0022148394241417496
'|vbg: 0.0004023682244065069
jj-tl|': 0.006309148264984227
'|nns-tl: 0.0014012143858010276
,|': 0.06624605678233439
dts|nns: 0.0001867553131886602
3|nn: 6.752240055638458e-06
,|3: 0.25
'|in: 0.00011114055860954612
cd-tl|': 0.0031545741324921135
dts|.-hl: 0.0033613445378151263
pp$|md: 0.0017424493859940259
jjr|ben: 0.002904564315352697
rbr|md: 0.0009127115831397279
beg|pp$: 0.0008547530374259722
do|cs: 0.0006528937182297254
jjr|vbn: 0.0006697215368346845
jj-tl|abn: 0.002422145328719723
md|jjr: 0.002103049421661409
pp$|be: 0.00503655564581641
doz|cc: 0.0007676280293891874
abn|ql: 0.0016532829475673122
nns|hvz: 0.006686167989970748
ex|.-hl: 0.018487394957983194
bed|nps: 0.05
dt|hvd: 0.0033927056827820186
''|cc: 0.0003838140146945937
beg|bedz: 0.003697052920671807
vbg|pps: 0.0011310298026352993
abn|hvd: 0.0019083969465648854
nn|ben: 0.01037344398340249
hvd|ex: 0.02
ppss+ber|cs: 0.0016788695611621508
--|uh: 0.022569444444444444
ql|pps+bez: 0.10874704491725769
ppss+hv|jj: 3.221182496094316e-05
rp|ppss: 0.00022558087074216106
ber*|.: 3.3973161202649904e-05
ppss|ber*: 0.2978723404255319
jj|ppss: 0.0026317768253252124
''|bem: 0.02252252252252252
np-hl|.: 0.0024630541871921183
cs|np-hl: 0.004098360655737705
vbz|nr-tl: 0.02711864406779661
vbg|ben: 0.08796680497925312
to|np-tl: 0.004373552868536146
nr-tl|vbn: 0.00010574550581600282
.|nr-tl: 0.19322033898305085
*|wrb: 0.00871359779867003
hvz|nns: 0.001624771224741344
nps|,: 0.0006033717834960071
vbd|nps: 0.08196721311475409
dt|ben: 0.004149377593360996
jjr|cs: 0.0007461642494054003
wps|nps: 0.027868852459016394
jj-tl|.: 0.0015797519959232207
ber|ppls: 0.03254437869822485
nps|vb: 0.00021462517246665643
vbd|cs: 0.0006995289838175628
wrb|np: 0.0014049562072160943
ex|nr-tl: 0.003389830508474576
ppls|wps: 0.00026219192448872575
dts|ap: 0.00021628636314480372
nns-tl|ap: 0.002271006813020439
bed|nns-tl: 0.015880429705744978
at|np-tl: 0.0030872137895549268
ppss+hv|,: 0.00040816326530612246
hvz|np-tl: 0.0036017494211474143
(|md: 0.0004978426817125788
bez|ppo: 0.003795242062390077
abx|ppss+bem: 0.00398406374501992
md|rp: 0.0008595495960116899
doz|,: 0.00044365572315882877
at|doz: 0.07456140350877193
ppss+hv|nns: 0.0001867553131886602
ex|np: 0.0002391414820793352
16''|nn: 1.3504480111276917e-05
''|16'': 1.0
ap|bed: 0.014272121788772598
rp|in: 0.00011968983234874197
dod|wdt: 0.00521901211556384
pn|wdt: 0.005964585274930103
abl|.: 0.0006285034822490232
ber|wdt: 0.028704566635601118
cs|dti: 0.0021149101163200562
beg|bez: 0.005680665449381213
hvz|cs: 0.0005596231870540503
nns|be: 0.007473598700243705
nns|*: 0.0067219359175442524
abx|np: 0.0001195707410396676
dti|(: 0.0013599274705349048
ber|np: 0.0016440976892954295
vbn|): 0.01399548532731377
nil|nn: 1.3504480111276917e-05
vbz|nil: 0.012987012987012988
vbz|ppl: 0.011715481171548118
jjr|to: 0.0001387251161822848
vbn|jjr: 0.005257623554153523
vbz|vbn: 0.0004934790271413465
nn-hl|at: 3.158859020121932e-05
hv|ex: 0.011904761904761904
dod|nn: 0.0005941971248961843
ber|vbg: 0.0007472552738977985
rbt|vb: 0.0003372681281618887
(|at: 0.0001579429510060966
jjr|vbg: 0.0015519917227108122
rp|bez: 0.002333130452424427
to|be: 0.00454914703493095
abn|): 0.0013544018058690745
rp|``: 0.0008234325373485472
vbz|'': 0.006739978715856687
(|rb: 0.0009633365444551481
nns-hl|nns-hl: 0.008291873963515755
np|nns-hl: 0.02321724709784411
jj-hl|jj-hl: 0.01804123711340206
(-hl|nn-hl: 0.0034916201117318434
np-hl|(-hl: 0.5061728395061729
)-hl|np-hl: 0.1680327868852459
nns-hl|)-hl: 0.010869565217391304
sec|cd: 0.00022841480127912289
bedz|sec: 0.3333333333333333
nn|sec: 0.3333333333333333
in|sec: 0.3333333333333333
bedz|vbn: 0.0011984490659146987
hvg|nn: 0.00010128360083457687
pp$|nns: 0.0007656967840735069
cd|nn-tl: 0.0025460998379754646
nn-tl-hl|:: 0.001304631441617743
cd-tl-hl|nn-tl-hl: 0.15384615384615385
.-hl|cd-tl-hl: 0.6470588235294118
nn-tl|dt: 0.012514351320321469
jj-nc|': 0.0031545741324921135
nn-nc|jj-nc: 0.0975609756097561
'|nn-nc: 0.00847457627118644
vbn-tl-nc|': 0.0031545741324921135
nns-tl-nc|vbn-tl-nc: 1.0
'|nns-tl-nc: 0.3333333333333333
nn-tl-hl|.: 0.0006624766434516732
cd-hl|nn-tl-hl: 0.11538461538461539
(-hl|--: 0.0027624309392265192
vb|)-hl: 0.17391304347826086
cc|jjt: 0.039634146341463415
(-hl|.: 0.0015287922541192458
np-hl|(: 0.00045330915684496827
)|np-hl: 0.0020491803278688526
nn-tl|(: 0.03989120580235721
jj|hvz: 0.020058503969912243
(-hl|cc: 0.00019190700734729685
at-tl-hl|(-hl: 0.018518518518518517
)-hl|at-tl-hl: 0.6
nn-tl-hl|(-hl: 0.030864197530864196
)-hl|nn-tl-hl: 0.038461538461538464
jj|jj-tl: 0.00501002004008016
ppss-hl|(-hl: 0.012345679012345678
)-hl|ppss-hl: 0.08
(-hl|.-hl: 0.011764705882352941
nn|)-hl: 0.06521739130434782
be|,: 0.0007630878438331855
cc-tl|,: 0.0001419698314108252
abn|)-hl: 0.005434782608695652
vbn|nns-tl: 0.004670714619336758
,|dti: 0.004934790271413465
be|): 0.0013544018058690745
at|)-hl: 0.1956521739130435
pn|)-hl: 0.010869565217391304
:|nns-tl: 0.005604857543204111
nn-tl|.-hl: 0.005042016806722689
)|(: 0.00045330915684496827
nn-tl|dti: 0.0028198801550934085
cd-hl|(-hl: 0.3333333333333333
)-hl|cd-hl: 0.17539863325740318
(-hl|nns: 1.8675531318866023e-05
in-hl|(-hl: 0.006172839506172839
cc|nn-hl: 0.002793296089385475
cs|)-hl: 0.03804347826086957
nn-tl-nc|``: 0.0003528996588636631
''|nn-tl-nc: 1.0
nn-tl|ap: 0.003028009084027252
jj|)-hl: 0.059782608695652176
2|in: 0.00013678837982713369
nns|2: 0.45454545454545453
np$-hl|at-hl: 0.0030959752321981426
'|np$-hl: 0.125
jjt-hl|': 0.0031545741324921135
nn-hl|jjt-hl: 0.5
'|nn-hl: 0.0034916201117318434
nn-tl|': 0.025236593059936908
nr|np: 0.0009266732430574238
vbd|nr: 0.016329196603527107
--|be: 0.00048740861088545896
md|jj-tl: 0.0022545090180360722
jj|jjs: 0.0679886685552408
bez|jj-tl: 0.000501002004008016
doz|nn-tl: 0.0005400817838129774
md|'': 0.004375073903275393
bez|in: 0.00013678837982713369
to|nps: 0.013114754098360656
rp|nn-tl: 0.0003857727027235553
jjs|cd: 0.0012182122734886553
dts|wdt: 0.002423112767940354
hvz|ppo: 0.0004628343978524484
nn$-tl|nn-tl: 0.002623254378520176
nns|nn$-tl: 0.09322033898305085
rb$|pn: 0.003667481662591687
nns|rb$: 0.2222222222222222
md|nns-tl: 0.01821578701541336
bez|nns-tl: 0.011676786548341896
nn$|ap: 0.0029198659024548502
wdt-hl|.: 0.000356718192627824
at-hl|wdt-hl: 0.06666666666666667
doz-hl|nn-hl: 0.0006983240223463687
at|doz-hl: 0.0625
rb-nc|at: 1.0529530067073107e-05
nn|rb-nc: 0.038461538461538464
pps|in: 0.00010259128487035026
nn$-tl|dti: 0.0007049700387733521
jj|nn$-tl: 0.12994350282485875
nn$-tl|at: 0.0016531362205304777
nn|nn$-tl: 0.3700564971751412
rb|nns-tl: 0.009808500700607193
(|do: 0.0007763975155279503
vbg|(: 0.009972801450589302
)|vbg: 0.0007472552738977985
jj|nn-tl: 0.0023917907568860425
at|dts: 0.0017115960633290544
rb|dts: 0.013264869490800172
nn-tl-hl|jj-hl: 0.010309278350515464
at|nn-tl-hl: 0.028846153846153848
dt|nn-tl: 0.0006172363243576885
vbn|ppl: 0.016736401673640166
pp$|dod: 0.015952143569292122
to|jjt: 0.019308943089430895
nr|np-tl: 0.0012863390789812194
nn-tl|nns-tl: 0.0948155067725362
in-hl|vbg-hl: 0.09027777777777778
np-hl|in-hl: 0.06680161943319839
at|np-hl: 0.020491803278688523
ex|*: 0.00044812906116961686
nn$|nn-tl: 0.0001543090810894221
hvd|cs: 0.0004197173902905377
ap|be: 0.006336311941510966
ppss|cd: 0.0012943505405816963
pps|nn-tl: 0.0009258544865365327
hv|abn: 0.0038062283737024223
np$-hl|nn-tl-hl: 0.009615384615384616
nn-hl|np$-hl: 0.375
nn-tl|nn-hl: 0.002793296089385475
jjt|cd: 0.00045682960255824577
nns-tl|``: 0.003764263027879073
cc-tl|nns-tl: 0.011209715086408221
nns-tl|cc-tl: 0.09797297297297297
np$-hl|nn-tl: 0.0001543090810894221
jj|np$-hl: 0.25
--|ppls: 0.0029585798816568047
nn|ber: 0.00846262341325811
hvz|'': 0.0013006976469197116
vbg|hvz: 0.001671541997492687
cc-hl|.: 3.3973161202649904e-05
rb-hl|cc-hl: 0.03418803418803419
---hl|rb-hl: 0.020833333333333332
ap-hl|---hl: 0.038461538461538464
nn-hl|ap-hl: 0.41025641025641024
pp$-hl|.: 1.6986580601324952e-05
nns-hl|pp$-hl: 0.3333333333333333
do-hl|nns-hl: 0.004975124378109453
*-hl|do-hl: 0.5
vb-hl|*-hl: 0.25
ppo-hl|vb-hl: 0.024193548387096774
nn|ppo-hl: 0.25
ql|nn$: 0.008397480755773267
nns-tl|cc: 0.0004386445882223928
md|nr-tl: 0.04067796610169491
jjs|nn$: 0.009097270818754374
jj-tl|``: 0.01246912127984943
hvd|'': 0.0005912262031453234
np|md: 0.0009956853634251576
do|np: 0.0001494634262995845
np-tl|ap: 0.0014058613604412242
ql|beg: 0.0365296803652968
nps|jj-tl: 0.008517034068136272
abx|nps: 0.000819672131147541
nn-tl|vbd: 0.0020098522167487686
jj-tl|cd: 0.0024364245469773106
ex|wrb: 0.010777344645723459
dti|*: 0.001120322652924042
vbg|abx: 0.008438818565400843
dt|beg: 0.0045662100456621
dod|nns-tl: 0.002335357309668379
''|np$: 0.001600640256102441
hvd|nn-tl: 0.004706426973227374
np|dti: 0.0035248501938667607
nn$-tl|jj-tl: 0.008266533066132264
rbr|pps: 0.0006220663914494147
np|bed: 0.009831906121154456
bed|cd: 0.0025887010811633925
nn$-tl|np-tl: 0.005917159763313609
np|nn$-tl: 0.025423728813559324
``|ppss: 0.0009023234829686443
ber|``: 0.003176096929772968
wpo|nns: 0.000840398909348971
at|wpo: 0.13309352517985612
at|nn-tl: 0.003163336162333153
dti|ber: 0.006346967559943582
pn|hvd: 0.006361323155216285
rbt|ql: 0.0004723665564478035
np|rbt: 0.01020408163265306
md|ppl: 0.018410041841004185
doz*|dt: 0.0004592422502870264
hvd*|nn: 1.3504480111276917e-05
.|hvd: 0.0031806615776081423
rbr|``: 0.00047053287848488413
''|rbr: 0.01647875108412836
be|``: 0.0008234325373485472
abn|pn: 0.00040749796251018743
np$|vbn: 0.0006697215368346845
ppss+bem|vbg: 5.748117491521527e-05
cd|ppss+bem: 0.00398406374501992
vbn|ex+bez: 0.00980392156862745
pn|be: 0.002924451665312754
wps+bez|``: 0.0007057993177273262
dt|wps+bez: 0.047619047619047616
in|nn+bez: 0.09090909090909091
vbd|nn$: 0.0013995801259622112
ppss|rp: 0.0020629190304280558
ppo|*: 0.002240645305848084
''|uh: 0.15625
jjr|ppss+ber: 0.01098901098901099
pp$|pps+bez: 0.02127659574468085
nps|dts: 0.0038510911424903724
wps+bez|cd: 0.00015227653418608191
vbg|wps+bez: 0.14285714285714285
dt|jj: 0.0004831773744141474
''|bez: 0.0012172854534388314
wrb|nps: 0.000819672131147541
vbd|dts: 0.004278990158322636
nps|``: 0.0009410657569697683
bed|abn: 0.004152249134948097
nns|hvd: 0.00720949957591179
bed|vbd: 0.00027586206896551725
nps|bed: 0.0019029495718363464
nr|np$: 0.0012004801920768306
vbd|dti: 0.003172365174480085
rp|rp: 0.0022348289496303938
(|rp: 0.0010314595152140279
np-tl|:: 0.0045662100456621
in-tl|np: 0.0002391414820793352
at-tl|cs: 0.0006995289838175628
cs|qlp: 0.05976095617529881
jjt|cc: 0.00041122930145849325
nps-nc|,: 1.774622892635315e-05
at|nps-nc: 0.5
nps|jjt: 0.0020325203252032522
at-tl|vbn: 0.00031723651744800847
ber|np-tl: 0.0020581425263699513
md*|np: 0.0011359220398768422
fw-nn|jj: 0.00020937686224613056
fw-vbg|fw-nn: 0.0070921985815602835
.|fw-vbg: 0.2857142857142857
ql|ap: 0.0033524386287444577
fw-at|vbn: 3.524850193866761e-05
fw-nn|fw-at: 0.625
fw-jj|fw-nn: 0.0425531914893617
in|fw-jj: 0.09615384615384616
nns|wpo: 0.025179856115107913
abl|cc: 0.00019190700734729685
nr|pn: 0.00040749796251018743
nps|be: 0.0006498781478472786
(|nps: 0.009016393442622951
fw-jj|be: 0.00016246953696181965
.|fw-jj: 0.07692307692307693
cd|wps: 0.0005243838489774515
dti|wdt: 0.00130475302889096
at-tl|.: 0.000373704773229149
fw-nn-nc|,: 1.774622892635315e-05
cc|fw-nn-nc: 0.16666666666666666
fw-nn-nc|cc: 2.741528676389955e-05
.|fw-nn-nc: 0.5
np+hvz|np: 5.97853705198338e-05
vbn|np+hvz: 0.8333333333333334
ex+bez|cs: 0.0002331763279391876
ap|ex+bez: 0.049019607843137254
--|pps+bez: 0.004728132387706856
ppss+md|--: 0.001534683855125844
ber*|ex: 0.0014285714285714286
dti|ber*: 0.02127659574468085
''|wrb: 0.002751662462737904
rb|dod*: 0.03713527851458886
,|at: 0.00011582483073780417
pps+hvd|nn: 7.427464061202304e-05
ben|pps+hvd: 0.1875
.|hvd*: 0.031914893617021274
ppss+ber|wdt: 0.0016775396085740913
cc|md: 0.003816793893129771
bed|vbn: 0.0006697215368346845
md*|``: 0.0011763321962122103
ppss|md*: 0.03170731707317073
wdt|do: 0.012422360248447204
cc|bedz: 0.002429491919298616
hvn|pps+hvd: 0.05
abn|bed: 0.009831906121154456
ppss+hv|vb: 0.00036792886708569676
--|to: 0.00020808767427342721
hvd*|cc: 5.48305735277991e-05
abx|vbn: 0.0007754670426506873
ex|jj: 9.663547488282948e-05
ex|vbz: 0.0004152823920265781
ap$|dt: 0.0008036739380022963
nn|hvn: 0.03508771929824561
od|wrb: 0.00022930520522815867
abx|ber: 0.0025858015984955335
wps|vb: 0.0003985896060095048
rb|abx: 0.029535864978902954
od|cs: 0.00013990579676351257
:|jj-tl: 0.000250501002004008
at-tl|:: 0.0032615786040443573
ppls|bez: 0.00010144045445323595
cc|ppls: 0.047337278106508875
''|ppls: 0.01775147928994083
od|in: 0.0005129564243517513
bed|ap: 0.0017302909051584298
``|hvg: 0.01098901098901099
nns|nr$: 0.22727272727272727
abl|,: 0.0002484472049689441
(|rbr: 0.005203816131830009
ber|vb: 0.00036792886708569676
np|nr: 0.006531678641410843
vbn|'': 0.003429111978242876
bedz|'': 0.007212959678372945
bez|dts: 0.0034231921266581087
ber|cd-tl: 0.00562429696287964
rbt|vbz: 0.0004152823920265781
bez|rbt: 0.01020408163265306
jjt|be: 0.0009748172217709179
cd|``: 0.006352193859545936
nr|``: 0.0008234325373485472
nr|nn$: 0.002099370188943317
nns|bez: 0.0009129640900791236
doz|--: 0.0003069367710251688
pn|doz: 0.015350877192982455
ber|abx: 0.011251758087201125
nr|pp$: 0.002991635630990903
do|wps: 0.0028841111693759833
nr|bedz: 0.00010563008344776593
hvz|abn: 0.0006920415224913495
jj-tl|nn$: 0.006298110566829951
nns$|rb: 2.8333427778092593e-05
wdt|be: 0.00016246953696181965
nn$|wdt: 0.0001863932898415657
vbg+to|ppss: 0.0003759681179036018
vb|vbg+to: 0.5
rb|nps: 0.022950819672131147
nns-hl|.-hl: 0.013445378151260505
nps-hl|cc-hl: 0.017094017094017096
in|nps-hl: 0.25
bedz|nn-tl: 0.010261553892446571
np|np$-tl: 0.014705882352941176
at|bedz*: 0.14189189189189189
uh|rb: 5.6666855556185186e-05
fw-nns|,: 8.873114463176575e-05
,|fw-nns: 0.2345679012345679
vbd|fw-nns: 0.07407407407407407
nn+hvz-tl|jj-tl: 0.000250501002004008
vbn|nn+hvz-tl: 1.0
dt|dod: 0.010967098703888335
cs|nps: 0.019672131147540985
ex+bez|nn: 3.376120027819229e-05
ppo|bedz: 0.00010563008344776593
beg|vb: 0.0002759466503142726
jj|nn+bez: 0.15151515151515152
do*|nn-tl: 0.00023146362163413317
nn+bez-tl|jj-tl: 0.000250501002004008
*|nn+bez-tl: 0.5
pps+md|rp: 0.0005157297576070139
hv|pps+md: 0.1056338028169014
bez*|vbg: 0.0001724435247456458
vbg|bez*: 0.07758620689655173
nn|vb+ppo: 0.014285714285714285
jj-tl|cs: 0.0023783985449797136
ber|nps: 0.036065573770491806
nn|dod: 0.004985044865403789
bez*|nn: 0.00010128360083457687
jj|bez*: 0.14655172413793102
nn-hl|.-hl: 0.047058823529411764
jj-tl|nn-hl: 0.002094972067039106
fw-nns|vbn: 3.524850193866761e-05
at|fw-nns: 0.012345679012345678
ppss+hvd|nns: 7.470212527546409e-05
hvn|ppss+hvd: 0.10526315789473684
pn$|vbd: 7.881773399014778e-05
vbg|nns-tl: 0.005604857543204111
``|vbd: 0.002758620689655172
wps+md|``: 0.0003528996588636631
be|wps+md: 0.5714285714285714
doz*|wps: 0.001048767697954903
''|doz*: 0.011363636363636364
nns$|pp$: 0.0010379144025886807
bedz|nns-tl: 0.009808500700607193
hvd|jj: 0.00011274138736330107
.|--: 0.001841620626151013
ppss|in: 4.274636869597928e-05
vb|np-tl: 0.0020581425263699513
vbd|od: 0.007000538502961767
ppss|jj: 0.0010468843112306527
at|nps: 0.009016393442622951
wp$|--: 0.0006138735420503376
(|vbd: 0.00027586206896551725
)|ap: 0.0008651454525792149
nn|ppss: 0.0012030979772915257
vb+rp|.: 3.3973161202649904e-05
rb|vb+rp: 0.5
nps-tl|jj-tl: 0.006262525050100201
nn-tl|cd-tl: 0.049493813273340834
cd|hv: 0.012877792378449408
rp|abn: 0.004844290657439446
pn$|bedz: 0.00031689025034329775
vbd|pn: 0.04849225753871231
np$|in-tl: 0.0020920502092050207
rbt|vbd: 0.000354679802955665
bedz|abn: 0.0031141868512110727
at-tl|np-tl: 0.006431695394906097
,|jj-tl: 0.009268537074148297
od-tl|jj-tl: 0.000501002004008016
--|beg: 0.0030441400304414
np|dts: 0.0017115960633290544
.|cs: 0.00037308212470270016
--|jjr: 0.003680336487907466
jj-tl|dt: 0.0012629161882893227
--|nps-tl: 0.06060606060606061
jjs|ppo: 9.256687957048968e-05
hvd|--: 0.003069367710251688
nps-tl|np-tl: 0.0018008747105737071
,|nps-tl: 0.15151515151515152
od|,: 0.00037267080745341616
wps|(: 0.003173164097914778
,|rbt: 0.061224489795918366
nn$-tl|cd: 0.00015227653418608191
nns-tl|nn$-tl: 0.014124293785310734
wps|nns-tl: 0.007473143390938813
nn-tl|nn$-tl: 0.19491525423728814
to|rbt: 0.05102040816326531
wrb+bez|``: 0.0009410657569697683
at|wrb+bez: 0.18181818181818182
--|at: 4.211812026829243e-05
jj-tl|dts: 0.002139495079161318
in|wps: 0.00865233350812795
vbz|md: 8.297378028542981e-05
wrb|hvd: 0.0010602205258693808
bed|cs: 0.0004663526558783752
*|vbg: 0.000862217623728229
nns$-tl|``: 0.0003528996588636631
nns-tl|nns$-tl: 0.08333333333333333
dti|'': 0.00023649048125812936
bed|ppls: 0.0029585798816568047
jj|wps: 0.0007865757734661773
vb|(: 0.03671804170444243
nns-hl|nn-hl: 0.06284916201117319
ap|nns-hl: 0.008291873963515755
doz|wps: 0.0036706869428421605
jj-hl|cc-hl: 0.08547008547008547
7074|at: 1.0529530067073107e-05
nns-tl|7074: 0.25
vbg-tl|nns-tl: 0.0018682858477347033
``|nn-tl: 0.001311627189260088
7074|np-tl: 0.0002572678157962439
nn-tl|7074: 0.25
vbg-tl|:: 0.0006523157208088715
cd-hl|,: 1.774622892635315e-05
vbz|od: 0.002154011847065159
abl|wrb: 0.00045861041045631735
ap-tl|at-tl: 0.006811989100817439
nn-tl|ap-tl: 0.7058823529411765
jj-tl|nns-tl: 0.008874357776739842
''|jj-tl: 0.0035070140280561123
jj-tl|ap-tl: 0.058823529411764705
jj-tl|nns: 7.470212527546409e-05
7074|.: 1.6986580601324952e-05
np|7074: 0.5
vb-tl|(: 0.004079782411604714
nn-tl|vb-tl: 0.10416666666666667
)|vb-tl: 0.010416666666666666
output|vb-tl: 0.010416666666666666
nn-tl|output: 0.8
jj-tl|(: 0.01314596554850408
,|md*: 0.012195121951219513
output|at: 2.1059060134146214e-05
vb|nns-tl: 0.015880429705744978
cd-tl|np-tl: 0.015436068947774634
output|cd-tl: 0.0011248593925759281
7074|ap: 0.00010814318157240186
---hl|nn-hl: 0.009078212290502794
vb-hl|---hl: 0.07692307692307693
output|vb-hl: 0.008064516129032258
nn-hl|output: 0.2
wrb|nn-hl: 0.0006983240223463687
ql|hvz: 0.008357709987463435
hvz|nn-tl: 0.0061723632435768845
ap|np: 0.0010163512988371746
nn|do: 0.009316770186335404
nps|wdt: 0.0009319664492078285
ppls|nps: 0.004098360655737705
np-tl|od: 0.0026925148088314485
nps|vbd: 0.00023645320197044335
ql|nps: 0.004918032786885246
cd-tl|np: 0.0010761366693570083
wdt|): 0.004966139954853273
nns|nr: 0.023514043109079032
ppls|jj: 3.221182496094316e-05
nns$-tl|at: 0.00029482684187804697
nn-tl|nns$-tl: 0.5138888888888888
nns$|cd: 0.0017511801431399421
ql|rbr: 0.0017346053772766695
nps|dti: 0.0014099400775467042
nn-tl|nr: 0.002612671456564337
:|'': 0.0013006976469197116
vbn-tl|uh: 0.001736111111111111
nn-tl|jjs: 0.0028328611898017
pp$-tl|in-tl: 0.003486750348675035
nns-tl|pp$-tl: 0.14814814814814814
nns-tl|pp$: 0.000671591672263264
np$|:: 0.0019569471624266144
'|ber: 0.0004701457451810061
dts|wrb: 0.0036688832836505388
ex|ap: 0.0003244295447172056
ex|ber: 0.0011753643629525152
ql|ex: 0.0009523809523809524
cs|nr: 0.02612671456564337
nn-tl|nr-tl: 0.030508474576271188
nrs|jj: 1.610591248047158e-05
in|nrs: 0.2
at-tl|bedz: 0.00031689025034329775
np$-tl|nn-tl: 0.0023146362163413317
.|np$-tl: 0.022058823529411766
abl|vbn: 0.00035248501938667606
rbr|*: 0.001120322652924042
dod|nns: 0.000840398909348971
pps|wpo: 0.24820143884892087
to|dod: 0.0029910269192422734
rbr|ben: 0.002074688796680498
cd|ben: 0.007053941908713693
nns|hvg: 0.014652014652014652
ex|nn-tl: 0.0003857727027235553
hvg|bedz: 0.0004225203337910637
hvd|dtx: 0.03
np|hv: 0.0028909329829172143
np|pn: 0.002037489812550937
rbr|pn: 0.0024449877750611247
