furthermore|rb: 36
front|nn: 138
hopes|nns: 29
plenty|rb: 6
regret|nn: 3
sadness|nn: 6
needed|vbd: 57
horses|nns: 67
steep|nn: 6
cow|nn: 28
spread|vb: 27
badly|rb: 30
complain|vb: 11
burial|nn: 11
quiet|nn: 8
2|cd-hl: 71
sent|vbd: 67
meadow|nn: 11
struggling|vbg: 19
harness|nn: 9
kathy|np: 4
excited|vbn: 21
pierce|np: 6
finished|vbd: 29
filled|vbd: 28
spent|vbn: 64
daylight|nn: 15
inviting|jj: 2
brush|nn: 29
stands|nns: 15
pine|nn: 13
cattle|nns: 94
stop|vb: 94
artificial|jj: 16
lake|nn: 11
stand|nn: 38
fed|vbn: 32
springs|nns: 7
popped|vbd: 6
hillside|nn: 9
tracks|nns: 12
steep|jj: 7
bend|nn: 8
gradually|rb: 48
valley|nn: 46
flat|nn: 10
warm|jj: 62
breeze|nn: 14
waves|nns: 51
hawk|nn: 7
flew|vbd: 27
stayed|vbd: 56
snakes|nns: 26
rabbits|nns: 5
stir|vb: 7
main|nn: 10
rows|nns: 16
tower|nn: 12
warehouses|nns: 4
deceived|vbn: 4
puzzled|vbn: 17
objects|nns: 62
1912|cd: 13
cubist|jj-tl: 5
adhere|vb: 4
harder|rbr: 14
reinforce|vb: 10
simulated|vbn: 7
braque|np: 9
picasso|np: 14
mix|vb: 11
foreign|jj: 135
substances|nns: 18
texture|nn: 14
created|vbd: 18
effective|jj: 125
certain|ap: 92
exact|jj: 25
abrupt|jj: 18
density|nn: 30
stated|vbd: 38
such|ql: 15
printing|nn: 5
rescued|vbn: 5
placed|vbn: 97
depicted|vbn: 6
except|rb: 7
accumulation|nn: 11
devices|nns: 36
still|ql: 28
radical|jj: 21
wallpaper|nn: 7
paper|nn: 151
simulate|vb: 4
collage|nn: 15
glued|vbd: 2
canvas|nn: 19
analytical|jj-tl: 4
braque's|np$: 4
assigns|vbz: 4
consistent|jj: 27
pioneer|nn: 16
textures|nns: 6
begun|vbn: 49
broaden|vb: 8
simplify|vb: 8
cubism|np-tl: 3
1910|cd: 16
examine|vb: 33
says|nns: 3
charcoal|nn: 14
affixed|vbn: 7
cloth|nn: 41
seeming|jj: 4
falls|vbz: 19
short|rb: 14
aim|nn: 27
immediacy|nn: 8
contain|vb: 43
because|rb: 166
covers|vbz: 15
pasted|vbn: 6
undepicted|jj: 4
flatness|nn: 8
bodily|rb: 4
indication|nn: 20
rendered|vbn: 23
isolating|vbg: 5
releases|vbz: 2
spreads|vbz: 8
turns|vbz: 28
three-dimensional|jj: 9
thrust|vb: 3
imbedded|vbn: 3
flat|jj: 51
upper|jj: 57
fruit|nn-tl: 2
dish|nn-tl: 1
douglas|np: 19
grapes|nns: 5
enclosed|vbn: 8
parallel|jj: 14
establish|vb: 56
strips|nns: 14
only|ql: 21
lesser|jjr: 16
block|nn: 61
capitals|nns: 4
lettering|nn: 3
cluster|nn: 8
pushed|vbn: 22
lines|nns: 191
shading|vbg: 2
placing|nn: 2
ambiguous|jj: 22
contents|nns: 15
masters|nns: 11
materials|nns: 92
conjunction|nn: 16
adjacent|jj: 12
shaded|vbn: 5
pry|vb: 5
planes|nns: 26
parallel|rb: 14
suggested|vbn: 54
established|vbn: 97
encompass|vb: 4
expanded|vbn: 13
optical|jj: 19
pictorial|jj: 5
assimilated|vbn: 4
latter|ap: 107
further|ap: 31
cubism|np: 8
plasticity|nn: 4
widely|ql: 3
divergent|jj: 5
phase|nn: 61
minimize|vb: 15
generalize|vb: 4
entities|nns: 11
attribute|nn: 3
detached|vbn: 10
saved|vbn: 29
transposed|vbn: 5
clusters|nns: 5
largely|ql: 12
french|nps: 18
abstract|jj: 25
dilemma|nn: 22
se|fw-ppl: 9
individual|ap: 8
preserved|vbn: 17
deliberately|rb: 30
logic|nn: 17
shaping|vbg: 6
smaller|jjr: 77
dense|jj: 9
shapes|nns: 25
formed|vbn: 55
integrity|nn: 10
cut|vbn: 59
abruptly|rb: 18
silhouettes|nns: 5
recognizable|jj: 7
contours|nns: 15
starts|vbz: 21
UNK|fw-nns: 56
continued|vbd: 83
flattened|vbn: 4
1913|cd: 12
analytical|jj: 5
conclusively|rb: 7
synthetic|jj-tl: 1
translated|vbn: 15
transformed|vbn: 21
translation|nn: 16
interlocking|vbg: 9
placement|nn: 14
allusions|nns: 5
unmistakable|jj: 7
synthetic|jj: 10
late|rb: 45
1914|cd: 7
lead|nn: 46
innovation|nn: 7
relinquish|vb: 6
glimpsed|vbn: 3
entered|vbn: 21
path|nn: 43
preceded|vbn: 5
instant|nn: 31
felt|vbn: 50
forward|jj: 18
folded|vbd: 5
guitar|nn: 17
fitted|vbd: 5
taut|jj: 7
strings|nns: 10
sequence|nn: 35
surfaces|nns: 27
clung|vbd: 13
extruded|vbn: 9
romance|nn: 13
rates|vbz: 4
cute|jj: 4
atmosphere|nn: 78
correct|jj: 39
boredom|nn: 11
hayes|np: 5
saga|nn: 6
reputedly|rb: 4
peanuts|nns: 5
simultaneously|rb: 37
wish|vb: 82
emeralds|nns: 4
facts|nns: 82
conversation|nn: 50
recorded|vbn: 34
transcript|nn: 4
linguist|nn: 9
af|nn: 991
stresses|nns: 15
emeralds|nns-nc: 2
wish|nn: 23
pitch|nn: 21
slight|jj: 48
conclusions|nns: 33
bear|vb: 42
monetary|jj: 9
sentimental|jj: 15
fairly|ql: 49
well|ql: 67
automation|nn: 6
designed|vbn: 95
shared|vbd: 18
programming|nn: 2
pitches|nns: 6
black|nn: 9
unfortunately|rb: 31
perverse|jj: 4
communication|nn: 66
richly|ql: 3
knotted|vbn: 3
bundle|nn: 18
conveyed|vbn: 6
henry|np: 79
lee|np: 31
jr.|np: 59
buffalo|np-tl: 2
heads|vbz: 2
world's|nn$: 31
department|nn: 62
anthropology|nn: 6
linguistics|nn: 5
brisk|jj: 7
amusing|jj: 13
constructed|vbn: 35
ingenious|jj: 10
rhythm|nn: 20
barnard|np: 4
project|nn: 79
considerably|rb: 22
devotion|nn: 19
recording|nn: 13
rat|nn: 6
named|vbn: 70
arthur|np: 43
army|nn-tl: 72
language|nn-tl: 2
program|nn-tl: 13
washington's|np$: 7
foreign|jj-tl: 16
service|nn-tl: 65
shock|nn: 24
encounter|vb: 12
overseas|jj: 12
posts|nns: 22
charting|vbg: 4
norms|nns: 20
ear|nn: 29
staggering|jj: 3
geographical|jj: 16
origin|nn: 41
and|or: 16
linguists|nns: 11
systematic|jj: 18
speakers|nns: 14
techniques|nns: 94
superbly|ql: 4
psychiatric|jj: 5
interview|nn: 31
speed|vb: 5
diagnosis|nn: 12
evaluate|vb: 12
therapy|nn: 12
1950's|nns: 4
colleague|nn: 9
george|np: 117
fights|vbz: 3
charm|nn: 20
engaging|jj: 4
ray|np: 16
agreed|vbd: 49
premises|nns: 8
phenomena|nns: 26
laughing|vbg: 27
breaks|nns: 3
expressions|nns: 14
shifts|nns: 15
et|fw-cc: 19
cetera|fw-nns: 4
smith's|np$: 5
workout|nn: 6
bread|nn: 39
reasonably|ql: 17
reasonable|jj: 63
addressing|vbg: 9
u.s.|np: 100
norm|nn: 7
pause|nn: 13
juncture|nn: 4
u.s.a.|np: 4
style|nn: 98
drop|nn: 24
sentence|nn: 33
ending|nn: 4
apple|nn: 8
speaker|nn: 22
relates|vbz: 8
instance|nn: 76
altered|vbn: 20
quality|nn: 112
examples|nns: 48
impaired|vbn: 7
accompanying|vbg: 14
undoubtedly|rb: 24
food|nn: 136
revealing|vbg: 7
departed|vbn: 4
customs|nns: 15
joint|nn: 16
investigations|nns: 22
interviewing|vbg: 5
therapeutic|jj: 13
diagnostic|jj: 8
instrument|nn: 44
interviews|nns: 18
boost|nn: 10
proportions|nns: 18
research|nn: 135
recordings|nns: 10
demonstrated|vbd: 9
reacted|vbd: 11
anxiety|nn: 37
track|nn: 34
records|nns: 81
offered|vbd: 43
print|nn: 14
skilled|jj: 29
telling|jj: 4
psychotherapy|nn: 4
nagging|nn: 4
transmitted|vbn: 8
minimum|nn: 29
recording|vbg: 15
tape|nn: 31
brings|vbz: 37
range|nn: 137
explored|vbn: 9
therapist|nn: 19
battery|nn: 16
newest|jjt: 15
adding|vbg: 21
linguistic|jj: 10
charting|nn: 3
flags|vbz: 2
patient's|nn$: 21
rehearsed|vbn: 7
dialogue|nn: 12
disapproval|nn: 13
ambiguity|nn: 8
annoyance|nn: 9
sentences|nns: 13
orientation|nn: 12
vocal|jj: 12
spots|nns: 29
esoteric|jj: 4
alert|vb: 5
probing|vbg: 5
underlying|vbg: 19
difficulties|nns: 44
apparent|jj: 56
reproduced|vbn: 6
five|cd-tl: 20
minutes|nns-tl: 3
level|jj: 14
neutral|jj: 28
avoided|vbn: 11
stressing|vbg: 4
you|ppss-nc: 7
imply|vb: 13
regional|jj: 36
irritable|jj: 5
tense|jj: 10
familiarity|nn: 13
scientific|jj: 81
high-school|nn: 5
putting|vbg: 51
indicating|vbg: 16
flag|vb: 1
referred|vbn: 31
conclude|vb: 15
thereafter|rb: 20
truthfully|rb: 5
refers|vbz: 18
divorce|nn: 21
signals|nns: 28
misery|nn: 15
chart|nn: 15
questioning|nn: 2
phrase|nn: 31
touching|jj: 3
flair|nn: 8
temperament|nn: 5
apparatus|nn: 27
operated|vbd: 8
lillian|np: 5
instantly|rb: 18
mechanism|nn: 26
conceivably|rb: 10
playing|vbg: 84
discovered|vbd: 28
hearing|vbg: 25
sessions|nns: 26
intensive|jj: 15
teams|nns: 22
bare|jj: 27
what's|wdt+bez: 44
spot|vb: 4
scientifically|rb: 4
hate|vb: 32
rivalry|nn: 4
bugs|vbz: 1
communicating|vbg: 6
classic|jj: 31
indicators|nns: 9
drs.|nns-tl: 5
ambiguity|nn-hl: 2
pronouns|nns-hl: 1
:|:-hl: 138
repetition|nn: 13
i|ppss-nc: 24
he|pps-nc: 3
she|pps-nc: 3
signal|vb: 4
uncertainty|nn: 16
concealed|vbn: 6
everybody|pn-nc: 1
mentioned|vbn: 60
refer|vb: 26
x-rays|nns: 2
pays|vbz: 16
amateur|jj: 7
alexandria|np-tl: 1
quartet|nn-tl: 7
stammered|vbd: 4
gavin|np: 15
wearily|rb: 7
they'd|ppss+md: 17
dawn|nn: 23
sank|vbd: 18
chair|nn: 63
shirt|nn: 26
frail|jj: 8
shook|vbd: 54
stored|vbn: 35
shattering|vbg: 6
terrible|jj: 42
clayton|np: 24
rally|vb: 5
bent|nn: 3
gavin's|np$: 9
stoop|vb: 3
charlie|np-tl: 3
whispered|vbd: 20
stuck|vbd: 12
UNK|pn: 15
tom|np: 62
brother's|nn$: 10
provoked|vbd: 5
killed|vbd: 34
rose|nn: 9
garden|nn: 43
nights|nns: 28
clay|np: 10
treated|vbd: 11
fair|rb: 2
childish|jj: 11
wonder|nn: 28
shyly|rb: 4
wherever|wrb: 26
goin|vbg: 4
choked|vbd: 4
murmuring|vbg: 4
beckoned|vbd: 6
slipped|vbd: 25
fiercely|rb: 4
ed|np: 13
heaven|nn-tl: 16
mock|vb: 3
way|rb: 3
ashamed|jj: 16
freed|vbd: 2
embrace|nn: 5
stepped|vbd: 33
saddle|vb: 1
confinement|nn: 7
barn|nn: 28
tightened|vbd: 6
blanket|nn: 27
comforting|vbg: 8
mare|nn: 12
smelled|vbn: 3
heat|nn: 89
knot|nn: 7
veranda|nn: 8
flesh|nn: 50
neck|nn: 76
backed|vbn: 3
carbine|nn: 6
trailed|vbd: 6
crazy|jj: 32
we're|ppss+ber: 59
nod|vb: 4
mark|nn: 36
one's|pn+hvz: 1
quivering|vbg: 7
lifted|vbd: 34
gently|rb: 30
they'll|ppss+md: 31
loved|vbd: 44
lived|vbn: 43
peaceful|jj: 18
yard|nn: 30
cast|vbn: 11
lamp|nn: 18
burning|vbg: 40
thirty-five|cd-hl: 1
rode|vbd: 39
coldest|jjt: 4
moon|nn: 46
sunk|vbn: 5
crest|nn: 11
mountains|nns: 31
primeval|jj: 5
slept|vbd: 18
hoot|nn: 1
rustle|nn: 2
brooding|vbg: 13
sighed|vbd: 21
bitterly|rb: 14
inert|jj: 5
landscape|nn: 20
caravan|nn: 3
strewn|vbn: 6
dying|nn: 3
vain|jj: 10
groped|vbd: 5
bones|nns: 20
sought|vbn: 19
oppressed|vbd: 1
bend|vb: 12
horse's|nn$: 5
hide|vb: 17
blow|vb: 7
twisting|vbg: 10
framed|vbn: 12
gray|jj: 56
dissolve|vb: 5
bold|jj: 19
violet|nn: 2
loose|rb: 8
ridge|nn: 9
feathers|nns: 13
red|nn: 6
swept|vbd: 18
stars|nns: 25
spread|vbd: 16
fences|nns: 16
picked|vbd: 51
weary|jj: 15
posted|vbn: 8
yards|nns: 61
shelter|nn: 64
whipped|vbd: 7
flung|vbd: 9
saloon|nn: 9
tired|vbn: 31
night's|nn$: 13
drinking|nn: 6
faces|nns: 57
red|jj: 115
baggy|jj: 4
liquor|nn: 42
flushed|vbn: 4
greeted|vbd: 14
news|nn: 86
lester|np: 13
muttering|nn: 1
reveal|vb: 27
hollow|nn: 4
cracked|vbn: 6
purvis|np: 4
brother|nn: 70
lied|vbd: 5
ridden|vbn: 6
gap|nn-tl: 6
nellie|np: 6
roy|np: 37
treats|vbz: 12
dirt|nn: 42
by|rb: 59
like|in: 32
mocking|vbg: 4
poker|nn: 5
halfway|rb: 14
ride|vb: 32
jerked|vbd: 11
wild|jj: 51
warmth|nn: 28
cold|nn: 21
fled|vbd: 22
grunted|vbd: 9
pushing|vbg: 16
mounted|vbd: 10
thirty-six|cd-hl: 1
swirled|vbd: 4
clouds|nns: 32
parted|vbd: 2
sunlight|nn: 17
swooped|vbd: 4
stain|vb: 2
earth|nn: 116
flowed|vbd: 3
streams|nns: 11
dazzling|vbg: 9
strung|vbn: 3
prairie|nn: 9
running|nn: 3
tire|vb: 2
hoofs|nns: 7
gained|vbd: 18
slightly|rb: 50
trail|nn: 27
mile|nn: 41
excitement|nn: 31
staccato|nn: 5
beat|nn: 23
fanned|vbd: 4
sworn|vbn: 5
fleeing|vbg: 10
sped|vbd: 9
stride|nn: 12
jack|np: 70
exit|nn: 7
corridor|nn: 15
lined|vbd: 7
critically|rb: 4
invisible|jj: 7
revolt|nn: 8
x-rays|nns-tl: 2
perceived|vbn: 9
delinquency|nn: 5
UNK|nn-nc: 12
critic|nn: 25
poet|nn: 66
lawrence|np: 35
lipton|np: 5
nation|nn-tl: 18
lewis|np: 55
pillars|nns: 5
ruined|vbn: 16
guarding|vbg: 9
circles|nns: 32
juvenile|jj: 10
post-war|jj: 8
charlie|np: 45
dylan|np: 11
deliberate|jj-nc: 1
destroyed|vbd: 8
overcome|vbn: 8
horror|nn: 16
overcome|vb: 15
lyrical|jj: 7
francisco|np: 35
distorted|vbn: 9
exasperation|nn: 5
fatigue|nn: 11
bird|np: 6
bob|np-tl: 1
city|nn-tl: 120
blind|jj: 41
sat|vbd: 129
happened|vbd: 83
pretentious|jj: 6
jazz|nn-tl: 13
concert|nn-tl: 3
evil|jj: 37
rowdy|jj: 3
chilled|vbd: 2
stillness|nn: 7
fluent|jj: 5
melody|nn: 19
terrifying|vbg: 5
swept|vbn: 14
stones|nns: 12
enchanting|jj: 9
utterance|nn: 4
compared|vbn: 61
thomas's|np$: 6
communicate|vb: 13
ruin|nn: 9
horace|np: 5
bears|vbz: 17
assurance|nn: 19
due|jj: 111
especially|ql: 19
frightful|jj: 6
catastrophic|jj: 5
verse|nn: 28
shines|vbz: 4
orderly|jj: 18
noble|jj: 23
actively|rb: 9
endurance|nn: 15
cities|nns: 106
jews|nps: 39
raids|nns: 5
guise|nn: 6
immense|jj: 14
raid|nn: 9
oven|nn: 7
apply|vb: 54
belief|nn: 58
startling|jj: 18
regression|nn: 7
ingenuity|nn: 5
pierre|np: 15
similarly|rb: 35
innovations|nns: 4
vastly|rb: 3
unfamiliar|jj: 10
jazz|nn: 85
tonal|jj: 8
novelties|nns: 7
consist|vb: 17
introduction|nn: 27
chords|nns: 5
progressive|jj: 17
contemporaries|nns: 5
davis|np: 26
monk|np: 3
tristano|np: 4
absorb|vb: 13
musical|jj: 70
melodic|jj: 4
passages|nns: 20
benny|np: 4
carter|np: 7
johnny|np: 28
hodges|np: 14
shifts|vbz: 2
sprung|vbn: 8
transition|nn: 28
baroque|jj: 5
edith|np: 4
metaphysical|jj: 15
reactionary|jj-tl: 1
generation|nn-tl: 2
ambiguities|nns: 7
incidental|jj: 5
emotionally|rb: 11
resemble|vb: 8
wagner|np: 19
resembles|vbz: 9
painter|nn: 21
jackson|np: 32
pollock|np: 8
persian|jj: 8
tiles|nns: 5
partly|rb: 36
verbal|jj: 20
insistent|jj: 8
idyllic|jj: 4
disorder|nn: 7
substitute|vb: 5
young|np: 7
saxophone|nn: 4
revolution|nn: 42
played|vbn: 36
extremely|ql: 45
hart|np: 11
crane|np: 4
wave|nn: 42
ornament|nn: 4
solo|nn: 6
determine|vb: 105
uninhibited|jj: 4
poetic|jj: 31
professors|nns: 14
reactionary|jj: 12
allen|np: 15
paul|np: 36
disciple|nn: 4
imitate|vb: 4
w.|np: 79
s.|np: 58
graham|np: 11
imitated|vbn: 2
since|rb: 29
methods|nns: 131
f.|np: 59
poets|nns: 32
ambition|nn: 19
player|nn: 18
band|nn: 40
fathers|nns: 9
discount|nn: 8
developments|nns: 41
nowadays|rb: 11
aberrant|jj: 5
hawthorne|np: 4
james|np: 91
gertrude|np: 5
stein|np: 16
cubist|jj: 1
universe|nn: 62
discourse|nn: 7
quote|vb: 15
advances|nns: 17
doubt|vb: 16
continuity|nn: 25
sustained|vbn: 14
plastic|jj: 7
hans|np: 31
arp|np: 6
max|np: 11
ernst|np: 5
hazard|nn: 9
soles|nns: 5
tossing|vbg: 4
less|rbr: 18
happenings|nns: 5
random|jj: 31
discipline|nn: 23
spontaneity|nn: 7
alike|jj: 6
accidents|nns: 8
aesthetic|jj: 24
appeal|nn: 48
random|nn: 4
curious|jj: 44
mark|np: 29
still|np: 1
robert|np: 78
painters|nns: 13
formula|nn: 54
fake|vb: 1
fashionable|jj: 11
sargent|np: 5
stroke|nn: 18
absolute|jj: 29
brushes|nns: 6
poverty|nn: 20
rises|vbz: 17
object|nn: 53
cover|vb: 50
expensive|jj: 44
complicated|vbn: 29
painted|vbd: 9
screens|nns: 9
elimination|nn: 9
leaves|vbz: 26
sustain|vb: 14
suggestion|nn: 33
reducing|vbg: 30
proposed|vbn: 61
organize|vb: 13
stems|nns: 18
reduction|nn: 41
realized|vbn: 18
highly|ql: 85
russian|np: 11
text|nn: 59
correspondence|nn: 25
occurrence|nn: 29
entries|nns: 18
accomplish|vb: 23
influences|vbz: 3
file|nn: 44
implementation|nn: 8
storage|nn: 41
synthesis|nn: 15
application|nn: 61
solution|nn: 56
form|nn-nc: 1
occurrence|nn-nc: 1
propose|vb: 13
selecting|vbg: 13
occurrences|nns: 10
compiling|vbg: 4
computer|nn: 9
spelling|nn: 2
economical|jj: 22
text-form|nn: 10
location|nn: 60
grammatical|jj: 9
determination|nn: 31
semantic|jj: 7
equivalents|nns: 7
output|nn: 31
pertains|vbz: 5
detailed|vbn: 51
lookup|nn: 7
modification|nn: 4
clearer|jjr: 14
assigning|vbg: 9
cell|nn: 65
replacing|vbg: 9
assigned|vbn: 48
regions|nns: 35
cells|nns: 81
w-region|nn: 5
x-region|nn: 4
y|nn: 3
region|nn: 71
reading|nn: 52
computed|vbn: 21
denote|vb: 4
store|vb: 7
identical|jj: 29
preceded|vbd: 9
equal|vb: 6
produced|vbn: 62
routine|nn: 18
detect|vb: 10
computing|vbg: 7
addresses|nns: 16
distinct|jj: 42
accommodate|vb: 14
storing|vbg: 4
added|vbn: 89
contains|vbz: 37
link|nn: 11
terminated|vbn: 4
connecting|vbg: 6
skipped|vbn: 2
matched|vbn: 14
constitute|vb: 27
usage|nn: 14
contained|vbn: 24
identified|vbn: 34
handling|vbg: 13
linked|vbn: 14
potentially|rb: 7
matching|jj: 2
match|nn: 14
entry|nn: 24
operation|nn: 104
select|vb: 18
x|nn: 11
assignment|nn: 58
structural|jj: 22
input|nn: 20
illustrate|vb: 16
type|nn: 178
descriptions|nns: 10
skip|vb: 4
aj|nn: 106
variable|jj: 18
plus|in: 16
modifying|vbg: 4
addition|nn: 138
decrease|vb: 10
extend|vb: 29
coverage|nn: 25
improve|vb: 38
generating|vbg: 7
paradigm|nn: 6
representative|jj: 15
classification|nn: 19
add|vb: 85
studied|vbn: 42
grouped|vbn: 5
insofar|rb: 7
allows|vbz: 19
stem|nn: 25
replaced|vbn: 30
prior|rb: 40
vary|vb: 31
irregularity|nn: 4
variation|nn: 32
summarized|vbn: 7
retained|vbn: 17
decreased|vbn: 2
special|jj-hl: 6
districts|nns-hl: 2
in|in-hl: 69
rhode|np-tl-hl: 3
island|nn-hl: 1
.|.-hl: 531
scope|nn: 25
report|nn: 112
elaborate|vb: 6
districts|nns: 35
rhode|np-tl: 78
units|nns: 74
government|nn: 267
forty-seven|cd: 4
district|nn: 77
governments|nns: 53
excluding|in: 12
housing|vbg: 29
kent|np-tl: 11
water|nn-tl: 6
authority|nn-tl: 10
levy|vb: 3
taxes|nns: 43
borrow|vb: 9
sue|vb: 12
sued|vbn: 2
powers|nns: 65
towns|nns: 50
submit|vb: 18
bureau|nn-tl: 25
fiscal|jj: 115
charges|nns: 42
annual|jj: 81
fiscal|jj-hl: 4
years|nns-hl: 3
other|ap-hl: 10
states|nns-hl: 3
comparative|jj-hl: 1
data|nn-hl: 2
review|nn: 33
regarding|in: 36
uniformity|nn: 10
pertinent|jj: 21
included|vbn: 54
findings|nns: 33
1|cd-hl: 63
june|np: 87
30|cd: 110
dates|nns: 22
alabama|np: 15
sept.|np: 34
march|np: 83
31|cd: 33
may|np: 80
sixteen|cd: 19
alaska|np: 21
arizona|np: 7
delaware|np: 16
massachusetts|np: 34
nevada|np: 5
mexico|np-tl: 13
north|jj-tl: 90
carolina|np-tl: 16
dakota|np-tl: 6
oklahoma|np: 10
oregon|np: 7
virginia|np-tl: 13
wyoming|np: 9
hawaii|np: 15
3|cd-hl: 58
ends|vbz: 13
december|np: 61
arkansas|np: 13
colorado|np: 9
indiana|np: 12
kansas|np: 19
jersey|np-tl: 20
ohio|np: 25
utah|np: 5
4|cd-hl: 42
close|vb: 36
:|.: 46
georgia|np: 30
iowa|np: 4
kentucky|np: 13
maine|np: 9
maryland|np: 17
minnesota|np: 9
virginia|np: 59
5|cd-hl: 30
closes|vbz: 6
exception|nn: 38
6|cd-hl: 19
mississippi|np: 32
7|cd-hl: 19
louisiana|np: 27
sundry|jj: 5
uniformity|nn-hl: 1
advantages|nns-hl: 2
and|cc-hl: 100
disadvantages|nns-hl: 2
advantages|nns: 26
summary|nn: 13
concerning|in: 60
uniform|jj: 28
coordinated|vbn: 14
calendars|nns: 10
listed|vbd: 11
compliance|nn: 6
administration|nn: 102
finances|nns: 6
adoption|nn: 11
budget|nn: 53
spending|vbg: 29
bank|nn: 54
checks|nns: 15
purchases|nns: 13
advantage|nn: 71
discounts|nns: 5
promotes|vbz: 4
budgeting|nn: 3
strengthens|vbz: 4
expenditures|nns: 44
fixing|vbg: 9
town's|nn$: 14
largest|jjt: 53
bookkeeping|nn: 5
reporting|nn: 5
eliminates|vbz: 4
borrowed|vbn: 8
notes|nns: 49
collections|nns: 8
invested|vbn: 11
short-term|nn: 14
treasury|nn: 2
miscellaneous|jj: 10
revenues|nns: 21
levy|nn: 4
meaningful|jj: 24
comparisons|nns: 6
increases|vbz: 30
borrowing|vbg: 7
routine|jj: 17
procedure|nn: 71
municipalities|nns: 9
loans|nns: 28
warrants|nns: 5
issuance|nn: 7
registration|nn: 23
saving|nn: 3
costs|nns: 99
rates|nns: 86
dependence|nn: 10
minimum|jj: 34
quarterly|jj: 4
installment|nn: 5
payment|nn: 49
instituted|vbn: 9
opening|nn: 27
saving|vbg: 18
security|nn: 69
equally|ql: 31
establishing|vbg: 25
reporting|vbg: 12
federal|jj: 112
july|np: 60
contribute|vb: 40
increasingly|rb: 19
sums|nns: 15
locally|rb: 11
handicap|nn: 6
growth|nn: 150
sharing|nn: 2
functions|nns: 38
calendar|nn: 28
obstacle|nn: 8
efficient|jj: 31
revenue|nn: 16
expenditure|nn: 10
adopting|vbg: 11
encountered|vbn: 18
involve|vb: 29
employed|vbn: 41
adjusting|vbg: 10
disadvantages|nns: 7
shifting|vbg: 9
finance|vb: 18
changing|nn: 1
cooperation|nn: 36
understanding|vbg: 38
officials|nns: 60
lessen|vb: 5
financing|vbg: 20
ease|nn: 26
directly|ql: 8
exceptions|nns: 26
indefinitely|rb: 5
adjusting|vbg-hl: 1
calendars|nns-hl: 1
sufficiently|ql: 26
exert|vb: 11
secure|vb: 15
program|nn: 358
desired|vbn: 40
adjustments|nns: 17
section|nn: 140
committees|nns: 14
improved|vbn: 46
obtain|vb: 42
no|at-hl: 6
adjustment|nn-hl: 4
needed|vbn-hl: 8
include|vb: 111
lincoln|np: 38
newport|np: 23
year|nn-hl: 6
providence|np-tl: 31
require|vb: 85
automatically|rb: 36
adjust|vb: 16
tax|nn-hl: 6
collection|nn-hl: 1
central|jj-tl: 55
falls|nns-tl: 9
woonsocket|np: 1
simultaneous|jj-hl: 1
adjustments|nns-hl: 3
cranston|np: 16
enigma|nn: 4
integration|nn: 48
accomplished|vbn: 38
interim|jj: 6
october|np: 49
26|cd: 29
april|np: 65
25|cd: 78
november|np: 71
15|cd: 102
february|np: 44
16|cd: 51
17|cd: 28
periods|nns: 46
varying|vbg-hl: 1
twenty-three|cd: 7
table|nn-tl: 50
3|cd-tl: 56
methods|nns-hl: 7
financing|vbg-hl: 1
budgets|nns: 5
governmental|jj: 23
accounting|vbg: 8
management|nn: 85
overcoming|vbg: 5
proponents|nns: 6
insure|vb: 23
consideration|nn: 48
prospective|jj: 21
interval|nn: 18
suitable|jj: 33
range|vb: 12
serial|jj: 2
bonds|nns: 45
stems|vbz: 14
transitional|jj: 4
eliminate|vb: 26
item|nn: 54
athabascan|np: 13
expresses|vbz: 8
languages|nns: 38
undergone|vbn: 10
yokuts|np: 7
territory|nn: 27
differentiation|nn: 8
however|wrb: 108
slot|nn: 6
sample|nn: 52
24|cd: 40
21|cd: 46
deduction|nn: 9
|: 20
equivalent|jj: 36
warrant|vb: 11
sets|nns: 46
lists|nns: 26
mainly|rb: 26
illiterate|jj: 8
compact|jj: 9
territorial|jj: 12
vocabulary|nn: 12
aims|vbz: 3
eliminating|vbg: 14
culturally|rb: 5
geographically|rb: 6
swadesh|np: 8
adapted|vbn: 12
san|np-tl: 12
valley|nn-tl: 25
70|cd: 24
4|cd: 127
similarly|jj: 1
plants|nns: 57
compelled|vbn: 17
denoting|vbg: 5
vulture|nn: 4
classes|nns: 66
plant|nn: 113
restricted|vbn: 15
generalizations|nns: 7
recurrent|jj: 4
fish|nn: 30
horn|nn: 14
tail|nn: 24
bark|nn: 13
root|nn: 24
pronouns|nns: 3
comparable|jj: 39
products|nns: 95
nearly|ql: 29
even|jj: 25
51|cd: 4
ratios|nns: 18
2.6|cd: 4
nature|nn-tl: 3
29|cd: 19
versus|in: 9
verbs|nns: 7
9|cd: 37
22|cd: 41
ratio|nn: 34
3.5|cd: 4
:|in: 20
5|cd: 85
connected|vbn: 28
percentage|nn: 45
verb|nn: 4
resistance|nn: 43
liability|nn: 7
replacement|nn: 19
meanings|nns: 21
share|vb: 37
71|cd: 10
allowance|nn: 13
UNK|nn+nn-nc: 1
UNK|jj+jj-nc: 2
UNK|ap+ap-nc: 1
UNK|vb+jj-nc: 1
UNK|vb+vb-nc: 1
tabulated|vbd: 1
columns|nns: 31
according|rb: 10
categories|nns: 24
namely|rb: 31
20|cd: 88
11|cd: 54
respectively|rb: 31
spread|vbn: 20
headed|vbn: 33
groupings|nns: 9
artificially|rb: 6
