furthermore|rb: 0.0010200034000113333
form|vb: 0.0015636976851142112
combinations|nns: 0.0003548350950584544
memories|nns: 0.00028013296978299034
project|vb: 0.00036792886708569676
environment|nn: 0.0002903463223924537
ever-changing|jj: 8.052956240235791e-05
imagine|vb: 0.0018089835965046759
create|vb: 0.0016556799018856354
projecting|vbg: 0.0003448870494912916
inner|jj: 0.000805295624023579
counterpart|nn: 5.401792044510767e-05
objective|jj: 0.0005959187617774485
imagery|nn: 6.752240055638458e-05
actuality|nn: 5.401792044510767e-05
lord|nn-tl: 0.00439780881104853
poem|nn: 0.00031735528261500753
100|cd: 0.0057865082990711135
ago|rb: 0.006743355811186037
visible|jj: 0.0005476010243360337
1941|cd: 0.0008375209380234506
civilized|vbn: 0.00038773352132534365
resultant|nn: 6.752240055638458e-06
projection|nn: 6.0770160500746126e-05
60|cd: 0.0032739454850007612
creator|nn-tl: 0.0006172363243576885
concrete|jj: 0.00027380051216801686
inward|rb: 0.00019833399444664816
recognize|vb: 0.001870305074352292
imaginative|jj: 0.00020937686224613056
training|nn: 0.0005604359246179921
dancers|nns: 0.0005602659395659807
musicians|nns: 0.0007283457214357749
potentialities|nns: 0.00014940425055092818
actors|nns: 0.00028013296978299034
portray|vb: 0.00018396443354284838
will|nn: 0.0006617195254525689
permanently|rb: 0.0003683345611152037
prof.|nn-tl: 0.0003086181621788442
morris|np: 0.0005380683346785041
open|nn-tl: 0.0006172363243576885
self|nn-tl: 0.0001543090810894221
highest|jjt: 0.057926829268292686
created|vbn: 0.0021854071201973914
race|nn: 0.0006212060851187381
destroy|vb: 0.001471715468342787
populations|nns: 0.00013072871923206216
forestall|vb: 0.00015330369461904033
older|jjr: 0.04363827549947424
lend|vb: 0.00036792886708569676
sir|np: 0.0016440976892954295
julian|np: 0.0002391414820793352
huxley|np: 0.0001793561115595014
uniqueness|nn-tl: 7.715454054471106e-05
novel|jj: 0.0001771650372851874
infancy|nn: 7.427464061202304e-05
childhood|nn: 0.0003376120027819229
protection|nn: 0.0004186388834495844
decline|nn: 0.000162053761335323
skyros|np: 0.000597853705198338
nuisance|nn: 3.376120027819229e-05
reasonably|rb: 0.0004250014166713889
angie|np: 0.0005081756494185873
sweet|rb: 2.8333427778092593e-05
slow|rb: 8.500028333427779e-05
needing|vbg: 0.00028740587457607634
pretty|np: 8.96780557797507e-05
trouble|nn: 0.0008305255268435303
heaven|nn: 0.0001755582414465999
straightened|vbd: 0.0005517241379310345
tie|nn: 9.453136077893842e-05
mirror|nn: 0.00016880600139096145
genial|jj: 8.052956240235791e-05
smile|nn: 0.0003038508025037306
painted|vbn: 0.0010927035600986957
bay|nn: 0.0001282925610571307
o'|in: 0.00012823910608793782
kinda|rb: 8.500028333427779e-05
ain't|bez*: 0.15517241379310345
ace|nn: 9.453136077893842e-05
spades|nns: 7.470212527546409e-05
widow|nn: 0.00015530152127968453
called|vbd: 0.0063842364532019705
rapidly|rb: 0.0017566725222417409
tracing|vbg: 0.0009196987986434443
frank|np: 0.0013451708366962604
look|nn: 0.0006212060851187381
good-looking|jj: 6.442364992188632e-05
angelo|np: 0.0002391414820793352
principles|nns: 0.0012325850670451574
uneasily|rb: 0.00014166713889046296
earned|vbd: 0.000354679802955665
paid|vbd: 0.0019704433497536944
stuff|nn: 0.000162053761335323
eyed|vbd: 0.00027586206896551725
proverb|nn: 3.376120027819229e-05
prevention|nn: 0.0001755582414465999
pound|nn: 0.0001755582414465999
stay|vb: 0.00285144871991415
meanwhile|rb: 0.0009916699722332407
cops|nns: 0.0003174840324207224
fool|vb: 0.00015330369461904033
castro|np: 0.0009266732430574238
likely|rb: 0.0007083356944523148
valuable|jj: 0.0006603424116993348
salesman|nn: 8.10268806676615e-05
danger|nn: 0.00044564784367213825
touch|nn: 0.0003578687229488383
practically|rb: 0.001190003966679889
bunch|nn: 0.00011478808094585379
ain't|ber*: 0.2553191489361702
guess|vb: 0.0015330369461904031
UNK|pn+md: 1.0
figure|vb: 0.0005825540395523532
affectionate|jj: 9.663547488282948e-05
want|nn: 6.0770160500746126e-05
o.k.|uh: 0.010416666666666666
UNK|pn+bez: 0.5714285714285714
repeated|vbd: 0.0006699507389162562
anybody|pn: 0.016299918500407497
scarcely|rb: 0.0005666685555618518
dreamed|vbn: 0.00038773352132534365
gold|nn: 0.0002430806420029845
users|nns: 9.33776565943301e-05
last|vb: 0.0006438755173999694
sweat|nn: 0.00014854928122404607
forehead|nn: 0.00010803584089021533
realized|vbd: 0.0018522167487684729
planning|vbg: 0.0037937575444042075
patted|vbd: 0.00023645320197044335
supply|nn: 0.00036462096300447674
sympathize|vb: 0.00021462517246665643
manage|vb: 0.0006132147784761613
tomorrow|nr: 0.038536903984323974
schedules|nns: 0.00016807978186979418
elite|nn-tl: 7.715454054471106e-05
dreamy|jj: 6.442364992188632e-05
past|in: 0.0005044071506125554
gaze|vb: 0.00015330369461904033
vaguely|rb: 0.0004250014166713889
appreciate|vb: 0.0007971792120190096
golden|jj-tl: 0.004258517034068136
san|np: 0.0017038830598152632
o'clock|rb: 0.0011050036833456112
decks|nns: 0.00011205318791319613
sell|vb: 0.0011344473401808984
cash|nn: 0.0002093194417247922
keeps|vbz: 0.002630121816168328
strict|jj: 0.0001771650372851874
throw|nn: 4.051344033383075e-05
sleepy|jj: 9.663547488282948e-05
UNK|cc: 2.741528676389955e-05
round|rb: 0.0003966679888932963
earnestly|rb: 0.00031166770555901855
everybody|pn: 0.02689486552567237
hurry|nn: 0.00011478808094585379
brushing|vbg: 0.00028740587457607634
brow|nn: 3.376120027819229e-05
situations|nns: 0.0009524520972621671
straightened|vbn: 0.00014099400775467044
wished|vbd: 0.0019310344827586207
resisted|vbn: 0.00017624250969333803
nice|jj: 0.001191837523554897
profit|nn: 0.000162053761335323
involved|vbd: 0.0009064039408866995
katharine|np: 0.0001793561115595014
ross|np: 0.0003288195378590859
sale|nn: 0.00029709856244809215
counted|vbd: 0.000354679802955665
notice|vb: 0.0008891614287904339
seized|vbd: 0.0004729064039408867
purchase|nn: 0.0002093194417247922
marked|vbd: 0.0005123152709359606
thank|vb: 0.001011804384485666
played|vbd: 0.0024827586206896553
rude|jj: 8.052956240235791e-05
act|vb: 0.0022075732025141808
they'd|ppss+hvd: 0.15789473684210525
offense|nn: 5.401792044510767e-05
threaten|vb: 0.0003372681281618887
manager|nn: 0.0005334269643954382
funny|jj: 0.0005959187617774485
cheap|jj: 0.00037043598705084634
store|nn: 0.0004186388834495844
grab|vb: 0.00036792886708569676
snatch|vb: 0.00012264295569523224
bother|vb: 0.0006745362563237774
she'd|pps+md: 0.2535211267605634
noon|nn: 0.000162053761335323
bills|nns: 0.000840398909348971
so's|cs: 0.00018654106235135008
suspect|vb: 0.0006132147784761613
banks|nns: 0.0003548350950584544
she'd|pps+hvd: 0.3625
waited|vbn: 7.049700387733522e-05
planned|vbn: 0.0017624250969333803
sunday|nr: 0.05943827563683867
there'd|ex+md: 0.3333333333333333
quick|rb: 0.00022666742222474074
pack|vb: 0.00030660738923808065
dress|nn: 0.0003578687229488383
wear|vb: 0.00095048290663805
station|nn: 0.0006144538450630997
locker|nn: 5.401792044510767e-05
overnight|rb: 0.0003683345611152037
dime|nn: 2.7008960222553833e-05
envelope|nn: 0.00014179704116840762
purse|nn: 7.427464061202304e-05
drawer|nn: 5.401792044510767e-05
shopping|nn: 4.726568038946921e-05
note|nn: 0.000486161284005969
wrong|jj: 0.0017233326354104592
easy|rb: 0.0003683345611152037
soft|rb: 5.6666855556185186e-05
UNK|jjr: 0.06624605678233439
somewhere|rb: 0.0013033376777922593
prettier|jjr: 0.002103049421661409
ladies'|nns$: 0.02766798418972332
up|in: 0.001479024356880883
sounded|vbd: 0.001103448275862069
sharply|rb: 0.0009916699722332407
count|vb: 0.0007358577341713935
UNK|np+bez: 0.68
awfully|ql: 0.0011809163911195087
she's|pps+bez: 0.08274231678486997
lots|nns: 0.0007096701901169088
sixteen|cd-hl: 0.002277904328018223
wake|vb: 0.000459911083857121
thermometer|nn: 6.752240055638458e-05
sound|ql: 0.00011809163911195088
asleep|jj: 4.831773744141474e-05
coffee|nn: 0.0005064180041728844
drawers|nns: 9.33776565943301e-05
cigarettes|nns: 0.00022410637582639226
crumpled|vbn: 0.00010574550581600282
stray|jj: 0.00011274138736330107
cigarette|nn: 0.00016880600139096145
bottom|nn: 0.0004996657641172459
tasted|vbd: 0.00027586206896551725
peculiarly|rb: 0.00014166713889046296
powder|nn: 0.0001755582414465999
sometime|rb: 0.00031166770555901855
he'd|pps+hvd: 0.625
liver|nn: 0.00010803584089021533
paused|vbd: 0.0009064039408866995
crouched|vbn: 0.00021149101163200565
trifle|nn: 6.0770160500746126e-05
middle|nn: 0.00029709856244809215
suffered|vbd: 0.0008669950738916256
apartment|nn: 0.0005266747243397997
overrun|nn: 1.3504480111276917e-05
kittens|nns: 9.33776565943301e-05
y|fw-cc: 0.037037037037037035
UNK|fw-wdt: 0.3333333333333333
UNK|fw-vbz: 1.0
UNK|fw-rb: 0.65625
severely|rb: 0.0003966679888932963
cats|nns: 0.0003174840324207224
easiest|jjt: 0.007113821138211382
damn|vb: 0.0002759466503142726
impossible|jj: 0.0012562611734767833
grown|vbn: 0.0014451885794853718
pity|nn: 8.777912072329996e-05
girlish|jj: 8.052956240235791e-05
raised|vbn: 0.0019386676066267183
fix|nn: 6.752240055638458e-06
wonder|vb: 0.000981143645561858
wound|vbd: 0.00027586206896551725
ankles|nns: 0.00013072871923206216
losing|vbg: 0.0015519917227108122
sands|nns: 0.00013072871923206216
century|nn-tl: 0.0017745544325283543
grand|jj: 0.00046707146193367583
stream|nn: 0.00033085976272628445
italian|jj-tl: 0.001002004008016032
renaissance|np-tl: 0.0002572678157962439
architectural|jj: 0.00012884729984377264
decoration|nn: 5.401792044510767e-05
appearance|nn: 0.0003848776831713921
brumidi|np: 0.000298926852599169
capitol|nn-tl: 0.0016202453514389322
rotunda|nn-tl: 0.00023146362163413317
washington|np: 0.004603473530027202
artistic|jj: 0.0005314951118555621
trained|vbn: 0.0017624250969333803
paris|np: 0.001793561115595014
execution|nn: 8.777912072329996e-05
tended|vbd: 0.0005123152709359606
overlook|vb: 0.00012264295569523224
greatness|nn: 6.752240055638458e-05
faults|nns: 0.00013072871923206216
ceiling|nn: 0.00018906272155787683
classical|jj: 0.0004348596369727327
thrown|vbn: 0.0014099400775467042
frieze|nn: 8.777912072329996e-05
formally|rb: 0.0005100017000056667
divided|vbn: 0.0014451885794853718
historical|jj: 0.0010952020486720674
scenes|nns: 0.0005415904082471146
tightly|rb: 0.0003683345611152037
tied|vbn: 0.0006344730348960169
walls|nns: 0.0011765584730885593
baroque|jj-tl: 0.000501002004008016
followers|nns: 0.00029880850110185637
descent|nn: 6.752240055638458e-05
remote|jj: 0.0005153891993750905
inheritance|nn: 3.376120027819229e-05
designed|vbd: 0.000354679802955665
decorative|jj: 0.00012884729984377264
scheme|nn: 0.00022282392183606913
collaboration|nn: 7.427464061202304e-05
architect|nn: 0.0001282925610571307
u.|np: 0.000298926852599169
walter|np: 0.001195707410396676
replace|vb: 0.0008891614287904339
dome|nn: 0.00011478808094585379
larger|jjr: 0.06309148264984227
fresco|nn: 4.726568038946921e-05
slightly|ql: 0.003778932451582428
beginning|vbg: 0.004541012818302006
liberty|nn-tl: 0.0003086181621788442
opposite|in: 0.00018808402226230881
ending|vbg: 0.0015519917227108122
leg|nn: 0.00036462096300447674
tragic|jj: 0.0005153891993750905
accident|nn: 0.0002093194417247922
ended|vbd: 0.0015369458128078818
death|nn: 0.0017353256942990837
sketches|nns: 0.0003174840324207224
drawn|vbn: 0.002432146633768065
faithfully|rb: 0.00011333371111237037
costaggini|np: 0.0002092487968194183
supplying|vbg: 0.0005748117491521527
missing|vbg: 0.001724435247456458
founder|nn: 6.752240055638458e-05
pennsylvania|np: 0.0009266732430574238
noting|vbg: 0.0009771799735586596
pencil|nn: 0.00022957616189170759
italian|np: 0.0001195707410396676
thirty-six|cd: 0.00022841480127912289
blank|jj: 0.0001771650372851874
void|nn: 5.401792044510767e-05
plastered|vbn: 0.00014099400775467044
disfigured|vbd: 7.881773399014778e-05
1951|cd: 0.0015227653418608193
advised|vbn: 0.0005639760310186818
architect|nn-tl: 0.00023146362163413317
joint|jj-tl: 0.001503006012024048
library|nn-tl: 0.0010801635676259548
traditionally|rb: 0.0002833342777809259
responsible|jj: 0.0010790961361915959
cleared|vbn: 0.0002819880155093409
peace|nn-tl: 0.0045521178921379525
after|in-tl: 0.001394700139470014
civil|jj-tl: 0.011022044088176353
birth|nn-tl: 0.00023146362163413317
aviation|nn-tl: 0.00023146362163413317
match|vb: 0.0007971792120190096
feasible|jj: 0.0002415886872070737
brumidi's|np$: 0.0024009603841536613
composition|nn: 0.00016880600139096145
cleaning|nn: 8.777912072329996e-05
restoration|nn: 5.401792044510767e-05
separate|jj: 0.0010146724862697097
undertakings|nns: 5.6026593956598066e-05
successive|jj: 0.00019327094976565897
essays|nns: 0.00014940425055092818
conservation|nn: 4.726568038946921e-05
arose|vbd: 0.0005911330049261083
technical|jj: 0.0018521799352542317
reports|nns: 0.0012512605983640234
consulted|vbn: 0.00035248501938667606
congress|np-tl: 0.004373552868536146
preliminary|nn: 6.752240055638458e-06
jumble|nn: 2.7008960222553833e-05
finish|nn: 9.453136077893842e-05
coats|nns: 0.0001867553131886602
strip|vb: 0.00015330369461904033
bricks|nns: 0.00011205318791319613
rough|jj: 0.0006281305867383917
inch|nn: 0.0002565851221142614
thickness|nn: 0.0002903463223924537
artists'|nns$: 0.019762845849802372
preparation|nn: 0.0003038508025037306
mortar|nn: 4.726568038946921e-05
lime|nn: 8.777912072329996e-05
sand|nn: 0.00018906272155787683
layers|nns: 0.00016807978186979418
cartoons|nns: 0.00011205318791319613
size|nn: 0.0008912956873442765
authorities|nns: 0.0007283457214357749
subjects|nns: 0.0014753669741904157
filling|vbg: 0.0015519917227108122
background|nn: 0.00043214336356086133
representations|nns: 0.0001867553131886602
squeezed|vbn: 0.00031723651744800847
comfortably|rb: 0.00034000113333711114
allowed|vbd: 0.0007881773399014779
arranged|vbn: 0.0010927035600986957
fit|vb: 0.0011344473401808984
interrupt|vb: 0.00012264295569523224
lengthwise|jj: 3.221182496094316e-05
flow|nn: 0.00036462096300447674
confusion|nn: 0.00028359408233681523
beams|nns: 0.0002427819071452583
hanging|vbg: 0.0014370293728803818
gallery|nn: 0.00012154032100149225
obscured|vbd: 7.881773399014778e-05
visibility|nn: 3.376120027819229e-05
glimpses|nns: 7.470212527546409e-05
matching|vbg: 0.0016669540725412428
color|nn: 0.0008440300069548072
traced|vbn: 0.00035248501938667606
samples|nns: 0.0005042393456093826
dry|vb: 0.00042925034493331287
note|vb: 0.0016250191629618273
solidly|rb: 0.0002833342777809259
scaffold|nn: 4.051344033383075e-05
sandy|jj: 9.663547488282948e-05
thick|jj: 0.0009341429238673517
washed|vbn: 0.0008459640465280226
surprisingly|ql: 0.0004723665564478035
final|ap: 0.0009732886341516167
coat|nn: 0.00024983288205862294
plaster|nn: 0.00015530152127968453
italian|jj: 0.0005476010243360337
14th|od: 0.0010770059235325794
italy|np: 0.0008369951872776732
opaque|jj: 9.663547488282948e-05
throughout|rb: 0.00022666742222474074
white|nn: 5.401792044510767e-05
painting|vbg: 0.0017819164223716734
brown|jj: 0.0009824606613087665
hatching|nn: 1.3504480111276917e-05
shadows|nns: 0.0003735106263773204
brown|nn: 2.7008960222553833e-05
medium|nn: 0.0002430806420029845
oil|nn: 0.000573940404729269
paint|nn: 0.00012154032100149225
fine|jj: 0.0022387218347855497
cracks|nns: 7.470212527546409e-05
drying|vbg: 0.0013795481979651664
awhile|rb: 0.00011333371111237037
applying|vbg: 0.0016094728976260276
basement|nn: 0.0002093194417247922
repairs|nns: 0.00014940425055092818
consistency|nn: 0.00010803584089021533
cracking|vbg: 0.0007472552738977985
disadvantage|nn: 2.7008960222553833e-05
pigment|nn: 6.0770160500746126e-05
setting|vbg: 0.0017819164223716734
mixed|vbn: 0.0012336975678533663
tones|nns: 0.00028013296978299034
tendency|nn: 0.000324107522670646
jump|vb: 0.0003985896060095048
preclude|vb: 0.00012264295569523224
dried|vbn: 0.0007402185407120197
UNK|nil: 0.16233766233766234
shades|nns: 0.00020543084450752624
convenience|nn: 0.00011478808094585379
chose|vbd: 0.001379310344827586
italians|nps: 0.005737704918032787
reserving|vbg: 0.00022992469966086107
lights|nns: 0.000803047846711239
day's|nn$: 0.00979706088173548
stint|nn: 3.376120027819229e-05
raw|jj: 0.000692554236660278
umber|nn: 2.7008960222553833e-05
burnt|vbn: 0.00017624250969333803
yellow|jj: 0.0007730837990626359
palette|nn: 3.376120027819229e-05
chill|nn: 8.10268806676615e-05
softening|vbg: 0.00022992469966086107
thorough|jj: 0.0003382241620899032
restrict|vb: 0.0003372681281618887
covering|vbg: 0.001724435247456458
joints|nns: 0.00022410637582639226
difficult|jj: 0.00254473417191451
paint|vb: 0.0005825540395523532
uneven|jj: 9.663547488282948e-05
coping|vbg: 0.0003448870494912916
forced|vbn: 0.002044413112442721
recipe|nn: 5.401792044510767e-05
ground|vbn: 0.0004229820232640113
adhesive|nn: 2.7008960222553833e-05
1953|cd: 0.001903456677326024
right|nr: 0.036577400391900716
brumidi|np-tl: 0.0002572678157962439
cleaning|vbg: 0.0012071046732195206
operations|nns: 0.0014566914428715497
foliage|nn: 6.752240055638458e-05
speculate|vb: 0.00021462517246665643
fault|nn: 0.00014179704116840762
maintained|vbd: 0.0005123152709359606
father's|nn$: 0.0244926522043387
comparing|vbg: 0.0005173305742369374
measurement|nn: 0.00020256720166915375
dimensions|nns: 0.0005415904082471146
presumably|rb: 0.0011050036833456112
various|ap: 0.0058397318049097004
sections|nns: 0.0012699361296828896
preparatory|jj: 0.00011274138736330107
drawing|nn: 8.10268806676615e-05
UNK|wp$: 0.0040650406504065045
california|np: 0.0012853854661764267
handling|nn: 0.00015530152127968453
wet|jj: 0.0007408719741016927
left|nr: 0.042455911169170475
yesterday's|nr$: 0.09090909090909091
today's|nr$: 0.5757575757575758
shape|nn: 0.0004996657641172459
triangular|jj: 8.052956240235791e-05
seated|vbn: 0.0007754670426506873
UNK|nn$-tl: 0.3559322033898305
comparison|nn: 0.000324107522670646
artist|nn: 0.00036462096300447674
party|nn: 0.0012289076901261995
basket|nn: 0.00010128360083457687
rendering|nn: 3.376120027819229e-05
thirty|cd: 0.004339881224303335
photograph|nn: 0.00010128360083457687
figure|nn-tl: 0.00293187254069902
1|cd-tl: 0.14623172103487064
completed|vbn: 0.0021854071201973914
shows|vbz: 0.009551495016611296
separated|vbn: 0.0013041945717307015
fellows|nns: 0.0002427819071452583
isolation|nn: 0.00010803584089021533
eighty|cd: 0.0008375209380234506
permission|nn: 0.00018231048150223837
witnesses|nns: 0.00033615956373958837
flight|nn: 0.0002903463223924537
kitty|np: 0.0002092487968194183
hawk|np: 0.0002092487968194183
startlingly|rb: 5.6666855556185186e-05
led|vbd: 0.003231527093596059
order|vb: 0.000521232561704737
cycle|nn: 0.000162053761335323
cleaned|vbn: 0.0004229820232640113
restored|vbn: 0.00031723651744800847
removed|vbn: 0.0021854071201973914
reach|vb: 0.0027594665031427257
pipe|nn: 0.00012154032100149225
wheels|nns: 0.0003735106263773204
progressed|vbd: 0.00039408866995073894
twenty|cd: 0.006014923100350236
push|vb: 0.0008891614287904339
shift|vb: 0.00042925034493331287
plank|nn: 4.051344033383075e-05
distributed|vbd: 7.881773399014778e-05
pavement|nn: 6.752240055638458e-05
brick|nn: 0.00012154032100149225
dusting|nn: 1.3504480111276917e-05
wash|vb: 0.0002452859113904645
tool|nn: 0.0002430806420029845
wetting|vbg: 0.0001724435247456458
running|vbg: 0.00655285394033454
mist|nn: 7.427464061202304e-05
spray|nn: 8.777912072329996e-05
nozzle|nn: 2.7008960222553833e-05
hose|nn: 5.401792044510767e-05
let|vbd: 0.0013399014778325124
sprayed|vbd: 0.00011822660098522167
sponge|nn: 2.7008960222553833e-05
excess|jj: 0.00030601233712896004
wetting|nn: 6.752240055638458e-06
assistant|nn: 0.00014179704116840762
mopped|vbd: 7.881773399014778e-05
brightness|nn: 0.00012154032100149225
unwanted|jj: 9.663547488282948e-05
chemical|nn: 0.0002430806420029845
reactions|nns: 0.0007656967840735069
painting|nn: 0.00018231048150223837
a|nil: 0.01948051948051948
fresco|nil: 0.006493506493506494
superbly|rb: 0.00014166713889046296
craftsmanship|nn: 3.376120027819229e-05
traces|nns: 0.00013072871923206216
former|ap: 0.014058613604412242
restoring|nn: 6.752240055638458e-06
sound|jj: 0.0007569778865821643
incorporated|vbn: 0.00035248501938667606
source|nn: 0.0005941971248961843
rain|nn: 0.0004253911235052229
flowed|vbn: 7.049700387733522e-05
openings|nns: 0.00013072871923206216
soaking|vbg: 0.00022992469966086107
streaks|nns: 9.33776565943301e-05
dissolved|vbn: 0.0005287275290800141
conspicuous|jj: 9.663547488282948e-05
landing|nn-tl: 7.715454054471106e-05
columbus|np-tl: 0.0015436068947774634
and|cc-tl: 0.6554054054054054
indians|nps-tl: 0.045454545454545456
referring|vbg: 0.0010346611484738748
museum|nn: 0.00010803584089021533
maintain|vb: 0.0018089835965046759
patches|nns: 0.00016807978186979418
naked|jj: 0.0004831773744141474
gas|nn: 0.0006077016050074612
jets|nns: 7.470212527546409e-05
below|rb: 0.0018416728055760186
windows|nns: 0.0009711276285810332
ruin|vb: 0.00015330369461904033
paintings|nns: 0.0006723191274791767
survived|vbn: 0.0002819880155093409
damp|jj: 0.00020937686224613056
summer|nn: 0.0008507822470104457
conclusion|nn: 0.00036462096300447674
assumption|nn: 0.00024983288205862294
mores|nns: 0.00013072871923206216
sanction|vb: 0.00012264295569523224
ideal|nn: 8.10268806676615e-05
double|jj: 0.0005476010243360337
females|nns: 0.0003174840324207224
primarily|rb: 0.0017000056666855556
preserving|vbg: 0.00045984939932172214
vs.|in: 0.00011968983234874197
diffusion|nn: 0.000162053761335323
conceptual|jj: 6.442364992188632e-05
unwed|jj: 0.00019327094976565897
mothers|nns: 0.0004295372203339185
quoted|vbd: 0.00031527093596059113
utilize|vb: 0.00030660738923808065
postulated|vbn: 0.00024673951357067324
erikson|np: 0.0001793561115595014
intended|vbn: 0.001163200563976031
demonstrate|vb: 0.0007971792120190096
utility|nn: 0.00013504480111276916
theoretical|jj: 0.00028990642464848845
studying|vbg: 0.0022417658216933953
hope|vb: 0.001992948030047524
thereby|rb: 0.000906669688898963
standpoint|nn: 7.427464061202304e-05
illegitimacy|nn: 2.7008960222553833e-05
long-term|nn: 0.00018906272155787683
involving|vbg: 0.001724435247456458
socialization|nn: 2.7008960222553833e-05
female|nn: 0.00020256720166915375
adolescence|nn: 0.00012154032100149225
series|nns: 0.00016807978186979418
developmental|jj: 0.00014495321232424423
stages|nns: 0.0009337765659433011
individual's|nn$: 0.006997900629811057
end|vb: 0.0011651080791047065
adolescent|nn: 6.0770160500746126e-05
faced|vbn: 0.0010222065562213605
resolution|nn: 0.00041188664339394596
resolutions|nns: 0.00011205318791319613
preliminary|jj: 0.0003543300745703748
delinquent|jj: 4.831773744141474e-05
inability|nn: 0.00010803584089021533
resolve|vb: 0.0003372681281618887
positively|rb: 0.00017000056666855557
experiences|vbz: 0.0006921373200442968
plan|vb: 0.0008891614287904339
postpone|vb: 0.00021462517246665643
wants|nns: 0.00014940425055092818
long-range|nn: 0.00027684184228117677
objectives|nns: 0.0007283457214357749
easily|rb: 0.0028333427778092593
developed|vbn: 0.004476559746210786
trust|nn: 0.00013504480111276916
ambivalence|nn: 3.376120027819229e-05
experienced|vbn: 0.001515685583362707
varying|vbg: 0.002126803471862965
temporarily|rb: 0.0005666685555618518
adolescents|nns: 0.00011205318791319613
remembering|vbg: 0.0009196987986434443
gratification|nn: 2.7008960222553833e-05
permanent|jj: 0.0006281305867383917
ranges|vbz: 0.0004152823920265781
utter|jj: 0.00016105912480471581
feeling|nn: 0.0008575344870660842
polar|jj: 0.00011274138736330107
extremes|nns: 0.00014940425055092818
comments|nns: 0.0004855638142905166
reported|vbd: 0.0019704433497536944
chapters|nns: 0.00022410637582639226
spur|nn: 6.752240055638458e-05
commitments|nns: 0.00022410637582639226
displayed|vbd: 0.00031527093596059113
decision|nn: 0.0007832598464540612
data|nns: 0.0014193403802338176
revealed|vbd: 0.0008275862068965517
indications|nns: 0.0002614574384641243
sources|nns: 0.0014940425055092817
mistrust|nn: 2.7008960222553833e-05
identities|nns: 0.0001867553131886602
need|md: 0.0031530036508463327
deterministic|jj: 0.00011274138736330107
shown|vbn: 0.00574550581600282
chapter|nn-tl: 0.0020831725947071983
6|cd-tl: 0.0281214848143982
originally|rb: 0.0006516688388961296
aid|nn: 0.000708985205842038
identification|nn: 0.00027684184228117677
specific|jj: 0.0017394385478909308
combined|vbn: 0.0011279520620373635
adolescent|jj: 4.831773744141474e-05
provide|vb: 0.006500076651847309
opportunities|nns: 0.000915101034624435
self-certainty|nn: 4.726568038946921e-05
consciousness|nn: 0.0001958149616135153
negative|jj: 0.0007891897115431075
experiment|vb: 0.00021462517246665643
one's|pn$: 0.7126436781609196
conformity|nn: 5.401792044510767e-05
permitted|vbn: 0.0014804370814240394
exercise|vb: 0.0006745362563237774
autonomy|nn: 0.00012154032100149225
nursery|nn: 4.726568038946921e-05
peer|nn: 4.051344033383075e-05
primacy|nn: 3.376120027819229e-05
acceptance|nn: 0.00031060304255936907
allowed|vbn: 0.002150158618258724
patterns|nns: 0.000877749971986703
acceptable|jj: 0.0003382241620899032
compounded|vbn: 0.00038773352132534365
rebellion|nn: 8.10268806676615e-05
suggestions|nns: 0.00039218615769618645
criticisms|nns: 0.0001867553131886602
manifestations|nns: 0.00016807978186979418
behave|vb: 0.0003372681281618887
judged|vbn: 0.0004229820232640113
performance|nn: 0.0007967643265653381
elementary-school|nn: 4.051344033383075e-05
invite|vb: 0.00030660738923808065
criticized|vbn: 0.0002819880155093409
peers|nns: 0.00011205318791319613
experiencing|vbg: 0.0004023682244065069
groping|nn: 6.752240055638458e-06
denial|nn: 0.00010803584089021533
adult|nn: 0.000162053761335323
quoted|vbn: 0.0006344730348960169
2|cd-tl: 0.1529808773903262
justifiable|jj: 6.442364992188632e-05
gaining|vbg: 0.0008047364488130138
supplemented|vbn: 0.00014099400775467044
stable|jj: 0.00025769459968754527
self|nn: 0.00022282392183606913
confronting|vbg: 0.0005748117491521527
anticipation|nn: 0.0001282925610571307
anticipate|vb: 0.00030660738923808065
self-discipline|nn: 3.376120027819229e-05
complete|vb: 0.0005825540395523532
tasks|nns: 0.0005415904082471146
successfully|rb: 0.0008783362611208704
progressively|rb: 0.00011333371111237037
resulting|vbg: 0.002414209346439041
design|nn: 0.000708985205842038
ought|md: 0.005476269498838367
experimenting|vbg: 0.0004023682244065069
fail|vb: 0.0011344473401808984
exploring|vbg: 0.00028740587457607634
skills|nns: 0.0006909946587980428
abilities|nns: 0.00022410637582639226
indecision|nn: 3.376120027819229e-05
confronted|vbn: 0.0009164610504053578
e.g.|rb: 0.0008500028333427778
prepare|vb: 0.0010731258623332823
financially|rb: 0.00022666742222474074
attending|vbg: 0.001264585848134736
pursue|vb: 0.0005825540395523532
mounts|vbz: 0.0004152823920265781
result|vb: 0.001410393990495171
paralysis|nn: 4.051344033383075e-05
workmanship|nn: 3.376120027819229e-05
jobs|nns: 0.0011765584730885593
courses|nns: 0.0011205318791319614
bases|vbz: 0.0005537098560354374
decisions|nns: 0.0009711276285810332
likes|nns: 1.8675531318866023e-05
dislikes|nns: 1.8675531318866023e-05
practice|vb: 0.0003372681281618887
occasionally|rb: 0.0013600045333484446
reflect|vb: 0.0007051969952475855
attended|vbd: 0.0009458128078817734
accepted|vbd: 0.001064039408866995
available|jj: 0.0038976308202741225
