The tag-bigram has the form ti|ti-1
ql|ppss: 23
vb|rbr: 68
md|.: 121
ber|'': 16
dts|rb: 45
wp$|dts: 4
ppss|nns: 261
wp$|in: 15
)|np: 399
cs|): 45
ql|cs: 71
pn|vbg: 58
in|pn: 462
doz|np: 22
hv|doz: 5
fw-in|,: 7
fw-jjr|fw-in: 1
,|fw-jjr: 1
do|rb: 42
,|do: 51
vbn|wpo: 1
md|nr: 9
abl|vb: 34
*|bed: 105
to|cs: 140
vbz|jj: 23
pn|vb: 211
cs|:: 43
dti|bez: 27
fw-nn|--: 2
fw-nn$|fw-nn: 5
,|fw-nn$: 1
fw-nn|,: 12
--|fw-nn$: 1
wps|ppo: 32
ql|wps: 7
,|ppls: 42
cd|dti: 62
ppls|vbn: 10
dts|nn: 31
abn|at: 42
(|cc: 52
cs|(: 71
np|): 46
dt|vbz: 73
hv|ppo: 34
np|pp$: 99
hv|,: 105
dt|ap: 7
nn$|jj: 83
ppls|ppss: 10
md|ppls: 5
md|vb: 18
ppss|dt: 21
np$|wdt: 4
uh|,: 78
,|uh: 315
hvz|wdt: 82
ex|cs: 280
md*|ex: 5
dt|do: 54
to|ber: 49
bez|vbn: 50
''|od: 2
cc|bez: 24
jj|(: 79
)|nn: 412
cd-tl|nn-tl: 471
cs|cd-tl: 6
at|:: 197
(|wps: 2
cd|(: 340
(|.: 242
to|ppl: 27
ap|ppo: 31
cc-tl|np-tl: 101
bedz|cc: 179
vbn|ap: 82
ql|bedz*: 12
rp|bedz: 56
hvd|dt: 26
nn|dts: 36
wrb|ppo: 83
do|wrb: 31
pn|do: 52
pps+md|vbz: 3
do|pps+md: 7
''|do: 32
do*|.: 37
*|ppss+ber: 18
bed|.: 2
ppss|bed: 12
in|ppss: 24
dod*|ppss: 110
vb|dod*: 289
ppss+bem|.: 59
vbn|ppss+bem: 19
ppss+hv|nn: 13
vbn|ppss+hv: 139
vb|vbn: 22
''|ppss: 30
``|--: 84
wdt|ppss: 3
do*|ppss: 253
bedz|.: 29
pps|bedz: 63
uh|``: 278
vbn|vbg: 66
ppss+bem|cs: 21
vbg|ppss+bem: 57
md|wrb: 95
.|ppss: 26
ppss+hv|.: 64
abn|ppss: 57
bez|vbg: 57
*|ppss+hv: 2
ppo|cs: 42
.|ber: 26
pp$|vbn: 312
pps+bez|.: 124
*|pps+bez: 20
cc|dt: 49
dod*|wrb: 9
ppo|dod*: 8
dti|hvz: 19
''|jjt: 12
dt+bez|``: 47
wdt|dt+bez: 26
vb|ppss+md: 297
at|ppss+bem: 15
nn+bez|pp$: 6
at|nn+bez: 5
nns$|.: 2
vbg|nns$: 7
doz*|rb: 2
vb|doz*: 71
.|pn: 149
cd|ppo: 39
pps+bez|vb: 12
at|pps+bez: 85
ppss+hv|cc: 18
cd|vbn: 147
pn|dt+bez: 2
wdt|``: 143
ppo|do*: 19
ppss+ber|wrb: 20
in|ppss+ber: 14
cd|bedz: 172
cc|pn: 27
ppl|cc: 22
ppss+bem|``: 81
jj|ppss+bem: 60
ppss+md|wdt: 3
do|ppss+md: 10
rb|ppss+hv: 31
ql|ben: 90
ql|jj: 46
ppss|vbn: 30
:|vbd: 149
bed|ppo: 27
to|bed: 70
in|ppss+bem: 10
hvz|cc: 65
pps+md|vb: 3
vb|pps+md: 74
ppss+md|jj: 4
vbn|ppss+md: 2
ppss|vbd: 100
ppss+md|cs: 24
uh|--: 25
dt|pp$: 1
ex|``: 50
ppss+md|,: 74
ppss+bem|:: 2
vb+ppo|,: 17
rb|vb+ppo: 2
md*|,: 24
ppo|md*: 2
ppss+md|``: 102
hvd*|ex: 2
ben|hvd*: 13
pn|ben: 7
np-tl|vbg: 11
.|wrb: 41
vbn|abn: 51
ppss|np: 42
*|hvd: 117
abn|ppo: 89
ppss|cd-hl: 3
rb|np-tl: 15
vb-tl|vbn: 1
np-tl|vb-tl: 5
dti|hvd: 22
vbd|ppo: 51
vb-tl|.: 5
vbd|bedz: 3
cc|nr: 72
nr|vbg: 36
nr|rp: 18
nn|nr: 206
cd|be: 43
od|jjs: 1
ppss+hvd|cc: 4
vbn|ppss+hvd: 34
ppss|rbr: 25
rb|ppss+md: 45
dod|ppss: 140
abn|vbd: 70
vbd|jj: 25
np|dt: 63
do*|wrb: 17
ppss|do*: 21
nns|ppss: 16
nr|ppo: 29
''|cd: 64
ap|wrb: 65
vb-tl|in: 2
vbd|abn: 48
np|ppss: 2
jj|dt+bez: 14
nr|at: 214
wps|dti: 6
hv|np-tl: 9
''|ppl: 28
np-tl|nn: 11
bez|np-tl: 23
fw-jj|``: 5
''|fw-jj: 7
fw-cc|``: 4
fw-ql|fw-cc: 1
fw-jj|fw-ql: 1
fw-cs|fw-jj: 1
fw-jj|fw-cs: 1
jj-nc|in: 4
bez|jj-nc: 2
jj-nc|*: 2
cc|jj-nc: 2
jj-nc|cc: 3
,|jj-nc: 2
.|jj-nc: 6
abx|be: 5
md*|jj: 1
np-tl|cc: 63
cc|jj-tl: 31
np-tl|cs: 22
wps|ap: 20
np-tl|vb: 10
np-tl|.: 55
cd|od: 69
np$|hvd: 1
ben|nns: 10
dt|wps: 2
np-tl|vbd: 19
,|doz: 12
ap|cd: 124
vbz|np$: 2
at-tl|cc: 28
wps|np-tl: 4
ppss|np-tl: 2
wp$|nns: 45
.|hvz: 5
jj-tl-nc|,: 1
nn-nc|jj-tl-nc: 1
.|nn-nc: 12
pn|bez: 68
np|np-tl: 12
''|nps: 25
jjr|ppo: 10
to|jjr: 42
np|jjr: 16
nns-tl|nn-tl: 246
dod|cc: 47
wpo|jj: 1
ppss|wpo: 45
jj|:: 50
dt|--: 54
jjr|jjs: 1
.|*: 65
--|bez: 9
to|--: 42
vbn|jj: 143
jj|wpo: 6
wdt|nn-tl: 23
np-tl|np$: 23
fw-jjt|at: 1
fw-nn|fw-jjt: 1
fw-nn|fw-nn: 2
,|fw-nn: 42
jjt|dt: 8
jj|np: 94
:|nn-tl: 28
ppss|nn-tl: 16
vbn|:: 10
bedz|nps: 6
wdt|ppo: 36
pp$$|rb: 8
*|nn: 87
pp$$|bez: 8
at|pp$$: 2
np-tl|,: 117
vbz|np-tl: 24
vb|nps: 62
vbz|vbg: 23
bez|pn: 71
np$|at: 61
np$|bez: 13
wps|vbz: 2
abx|bez: 11
jj|np-tl: 8
dts|vbz: 19
dt|wdt: 36
rbt|md: 5
vb|rbt: 6
wdt|cd: 20
ber|.: 38
ppss|ber: 92
vbg|ppss: 63
at|dod: 51
ap|ap: 126
ppss|dod: 56
ql|cd: 28
vbz|cd: 34
hvn|ppss+hv: 12
ppo|hvn: 7
.|wdt: 20
uh|.: 136
rb|uh: 19
.|cc: 4
bem|wrb: 1
ppss|bem: 14
bem|wdt: 2
cd|ppss: 2
.|dts: 8
dt|ql: 11
doz*|nn: 21
dti|jj: 9
rbr|dti: 23
wdt+hvz|.: 1
vbn|wdt+hvz: 2
vbg-tl|at: 34
nn-tl|vbg-tl: 67
dt+bez|.: 49
vbn|dt+bez: 3
vb+ppo|.: 19
vb|vb+ppo: 58
pp$|hvd: 52
pp$$|hv: 1
hv|dti: 10
dti|--: 18
ql|hv: 30
ber|dti: 9
ber|ap: 15
*|dti: 1
,|hv: 26
at|(: 107
)|ppo: 20
--|): 15
dt+bez|,: 28
pps|dt+bez: 1
``|bez: 37
ber|wrb: 14
do|md: 186
jj|--: 116
pp$|rp: 214
ap|ber: 86
wdt|rp: 23
rbt|do: 1
cc|rbt: 2
--|pn: 18
pn|--: 18
abn|*: 30
ql|*: 158
in|wrb: 52
do|.: 54
doz|.: 26
vbg|doz: 1
ppss+bem|,: 35
ex+bez|,: 14
rb|ex+bez: 8
.|uh: 70
wrb+bez|.: 3
rb|wrb+bez: 1
pps+bez|cc: 47
jj|pps+bez: 69
wdt|jj: 22
rb|wrb: 55
do|md*: 19
ppss|hv: 59
dti|rp: 30
ppls|hv: 1
at|ppls: 8
dt+bez|rb: 8
pp$|dt+bez: 10
bez*|rb: 4
pp$$|bez*: 1
dt+bez|jj: 1
wrb|dt+bez: 23
nns$|,: 7
vb|do: 48
vbn|vb: 165
be|do*: 5
beg|rb: 35
od|pp$: 215
ex+bez|rb: 3
pp$|pn: 5
hv*|ppss: 28
vbn|hv*: 23
vb|doz: 32
nn|ex+bez: 8
vbg|pps+bez: 31
vbg|bem: 31
ppss|(: 23
to|): 15
do*|rb: 20
hv|do*: 22
abn|do: 5
cd|dt: 85
--|abn: 9
doz|wdt: 24
pps|doz: 36
pn|wrb: 42
bedz|pn: 52
vbg|abn: 27
nn$|.: 13
nn|pn: 4
abn|nn: 58
nn-tl|pp$: 117
nn|md: 21
ap|vbg: 76
at-tl|pp$: 1
ppl|bez: 16
wdt|vbn: 37
nn-tl|nn: 72
at|pps: 24
vbd|--: 59
ql|:: 6
abn|be: 4
*|``: 53
be|ppss+md: 50
dti|vbg: 60
ppl|ap: 1
ql|ppl: 15
vbn|ppss: 55
dod*|,: 14
ppss|dod*: 13
ppss+bem|cc: 21
ql|ppss+bem: 14
dt|ex+bez: 3
--|np$: 4
bez*|,: 18
ppo|bez*: 1
ppss+hv|rb: 3
ben|ppss+hv: 40
wdt|bedz: 13
pps|--: 124
rb|abn: 34
nns|--: 72
cs|abn: 19
pps|ap: 19
bez|wrb: 20
jjr|,: 37
at|jjr: 26
pps|bez*: 22
''|pps: 28
dt|ppo: 55
dod*|np: 24
abl|np: 1
ql|--: 42
at|ql: 23
wrb|--: 28
pn|dod: 18
hv|pn: 5
vbg|ber*: 7
pn+md|vb: 1
vb|pn+md: 2
pps+bez|``: 94
uh|pps+bez: 1
pn+bez|,: 1
uh|pn+bez: 1
bez*|uh: 1
,|pps: 58
beg|*: 8
bedz|wps: 175
dt|bedz: 49
pp$|jj: 31
wps|.: 60
ben|np: 7
ap|ben: 14
ppss+ber|,: 23
at|ppss+ber: 22
vb|cd: 18
ppss+md|cc: 47
jjt|pp$: 111
pn|do*: 1
nr|--: 5
to|cd: 36
ppss|ap: 29
pp$|do: 21
do|vb: 4
cs|do: 18
md|cd: 56
abn|md: 15
be|abn: 5
rbr|rp: 10
,|rbr: 155
pn|ap: 8
ap|jj: 70
np|be: 23
cc|:: 11
wrb|vbg: 47
ql|wrb: 18
ppss+hvd|cs: 14
vb|ppss+hvd: 2
:|dod: 2
vbd|:: 1
pps+md|nn: 12
be|pps+md: 33
pps+md|cc: 13
rb|pps+md: 8
pps+md|.: 36
md*|rb: 32
bedz*|dt: 7
pps+hvd|wrb: 3
vbn|pps+hvd: 48
ppo|hvd: 22
pps+md|wrb: 4
ex+md|--: 1
be|ex+md: 3
pps+md|nns: 3
nr|be: 5
--|nr: 12
--|cc: 23
cs|pn: 62
abn|--: 30
pps|abn: 44
bedz|vbd: 41
.|bedz: 43
jjr|hv: 5
nns$|vb: 7
pps+md|,: 25
jjr|.: 30
,|jjr: 111
dt|nn: 197
pps+md|--: 2
wps|wdt: 1
ppss+hv|``: 61
vb|ppss+hv: 2
np+bez|,: 3
ql|np+bez: 2
vb+ppo|--: 3
pps+bez|,: 49
rb|pps+bez: 46
cd-hl|rb: 1
np|cd-hl: 3
dt|be: 13
nr|vbd: 111
pps+hvd|cs: 21
jjr|nn: 56
in|jjr: 70
hvd|nps: 17
jj|hvd: 57
fw-wdt|fw-cc: 1
fw-vbz|fw-wdt: 1
fw-rb|fw-vbz: 1
.|fw-rb: 3
ppo|hv: 46
wps|rb: 12
ppss+hv|wps: 1
abn|wdt: 15
ppss+hv|wrb: 5
dts|vbn: 20
ppss+md|dts: 1
dti|be: 34
md|nps: 39
ppl|vbg: 72
jj-tl|pp$: 37
beg|bed: 20
dts|.: 401
bed|dts: 34
*|rp: 1
abn|rp: 21
jj-tl|at-tl: 130
np$|jj: 7
at|rbr: 41
bez|vbz: 26
nns$|jjr: 1
dti|bedz: 14
hvd|pn: 59
--|,: 29
abn|bedz: 39
abn|cd: 9
vbd|abx: 29
''|fw-nn: 27
fw-nn|``: 19
to|qlp: 96
.|od: 43
ap|vbn: 128
vbn|bem: 27
rbr|nn: 113
md|vbn: 41
,|bedz: 104
nil|``: 3
nil|nil: 122
''|nil: 3
jjt|in: 30
vbn|dti: 42
bedz|ap: 12
ppss|'': 14
np|rbr: 9
bedz|cd: 49
np$|bedz: 30
vbd|rbr: 45
wp$|.: 3
pn|vbz: 42
nr$|vb: 1
nn|nr$: 24
nr$|in: 40
nn$-tl|in: 24
nr|nn$-tl: 1
ppls|nns: 39
in|cd-tl: 50
hvg|,: 45
ben|hvg: 20
)|nn-tl: 73
bedz|rp: 8
jjr|rb: 44
.|jjr: 92
bedz|rb: 123
wps|vbn: 8
od|nn: 4
np$|rb: 28
.|np$: 29
ex|in: 7
beg|ex: 9
rb|fw-nn: 3
rp|ql: 40
nn-tl|``: 203
np-tl|``: 70
at-tl|cc-tl: 11
nps-tl|at-tl: 3
''|nps-tl: 4
hvn|hv: 71
rbr|vbd: 54
rb|pp$: 51
hvg|rb: 10
vbz|--: 28
md|): 30
(|pp$: 6
nn|): 104
,|,: 72
(|ap: 7
)|abn: 5
pn$|in: 44
jj|pn$: 20
hvg|ppo: 3
jjr|bez: 50
nns|pn$: 14
vbd|ap: 24
vbg|ql: 51
nn|pn$: 47
rb|nn$: 4
hvg|cc: 6
(|pn: 2
wql|(: 4
to|md: 70
''|be: 10
.|): 407
hvn|*: 6
jj|hvn: 11
ap|--: 23
vb|abx: 21
vbn|(: 33
)|cd-tl: 48
)|): 9
vb|): 28
abx|nns: 6
hvn|hvd: 59
abx|bedz: 10
ql|hvn: 7
cc|at: 4
wp$|): 1
nps|np: 57
wps|'': 17
ap|abn: 36
ppss|bez: 7
``|wps: 10
bed|cc: 29
wql|vbd: 4
rbr|wps: 2
(|vb: 18
jj|): 26
dt|rp: 45
nn+bez|at: 13
ql|nn+bez: 3
*|ppss+bem: 37
nn+bez|dt: 3
pps+bez|jj: 5
rp|pps+bez: 4
wrb|rp: 33
ex+bez|``: 19
dti|ex+bez: 3
ppss+ber|``: 68
jj|ppss+ber: 41
jjr|pps+bez: 8
pps+bez|wrb: 11
ppss+ber|cc: 14
doz*|pps: 33
be|.: 24
abn|dt+bez: 13
dod*|cc: 13
ql|dod*: 1
vb|ql: 4
''|to: 11
bez*|pps: 27
,|bez*: 2
.|bem: 6
ppss+hv|cs: 11
dti|vbn: 53
''|nr: 45
dod*|nn: 18
ql|ppss+ber: 18
np|nn+bez: 4
ex|bez: 18
pn|ex: 3
ppss+md|vb: 17
qlp|rb: 73
pp$$|*: 4
pp$$|.: 6
dt+bez|vb: 3
ql|dt+bez: 8
''|at: 7
ap|hvn: 17
ppss|vbz: 12
in|hvd: 47
hvd|cd: 15
dti|nn: 53
jjr|dti: 19
wrb|to: 8
bed*|ppss: 10
vbg|bed*: 3
hvd*|pps: 40
vbn|hvd*: 60
be|ppl: 4
jjr|vbd: 42
abx|``: 5
jjr|ex+bez: 1
rp|be: 21
nr|*: 1
,|dod: 32
rbr|ppo: 30
ppss|pn: 34
abn|bedz*: 2
ap|hvd: 41
jjr|vb: 65
abx|bed: 13
vbn|abx: 16
pps|vbn: 54
md*|nns: 26
abn|nns: 38
cd|:: 39
beg|cs: 56
ap|pn: 43
--|cs: 8
nn$|jj-tl: 4
cc|rbr: 49
vbd|vbg: 26
wpo|ap: 3
hvd|ppl: 13
jj-tl|ql: 3
cs|jj-tl: 2
,|np$: 30
ql|np-tl: 3
pps|(: 27
bez|np$: 3
jjr|pp$: 38
abx|nn: 25
vbz|abx: 3
--|abx: 1
dtx|cc: 6
.|dtx: 6
pn|hv: 30
vbn|pn: 34
od|ql: 10
nns|jjs: 91
vbn|vbz: 38
od|np$: 32
nn|fw-nn: 13
``|*: 4
vb|ppls: 15
wpo|cd: 4
dt|wpo: 4
hvz|dt: 31
in|hvz: 23
vbn|dt: 71
--|ppl: 10
,|*: 71
rb|doz: 10
*|pn: 6
ppl|*: 7
cc|ql: 28
vbd|ppl: 25
bedz|): 27
ppss|:: 26
fw-ppl|in: 8
--|fw-ppl: 2
dt|(: 16
cc|): 165
bed|np-tl: 14
(|vbz: 4
cc|np$: 18
fw-nns|np$: 1
fw-jj|fw-nns: 1
cc|fw-jj: 2
jj-tl|dod: 1
dod|,: 35
np|dod: 17
pps|dt: 23
in|dod: 35
rb|): 32
ex|wdt: 21
vbd|ex: 27
rb|:: 29
bedz|dod: 6
vb|bedz: 11
nns-nc|in: 4
cc|nns-nc: 2
(|cd: 73
ql|(: 14
(|vbn: 37
vbd|): 43
nns-nc|cc: 2
md|nns-nc: 1
nns|:: 35
.|hvn: 3
od|nn$: 12
np|vbn: 280
or|nn: 6
nn|or: 4
(|np: 253
np|(: 420
(|:: 30
fw-cc|,: 11
fw-nns|fw-cc: 14
.|fw-nns: 10
:|be: 3
nn|(: 147
abn|ber: 36
)|jjt: 2
:|in: 16
od|cc: 35
cc|ber: 13
--|wdt: 3
bed|--: 9
ap|wdt: 23
hvd|ppo: 16
jjt|.: 14
jjr|wrb: 3
vbg|jjr: 18
md|vbg: 30
cd-tl|od-tl: 2
nns-tl|cd-tl: 36
)|nns-tl: 7
,|hvz: 11
ppss-nc|``: 2
''|ppss-nc: 1
pps|vbz: 32
rb|(: 122
in|hvn: 16
pn|``: 47
''|pn: 44
cd|vbg: 116
dt+bez|cc: 22
dt|dt+bez: 2
--|qlp: 4
wdt+bez|rb: 2
jj|wdt+bez: 5
do|doz: 1
bez|do: 18
vb|bez: 10
np|nns-tl: 20
:|dts: 3
nn-hl|:: 4
nns-hl|in-hl: 62
:-hl|nns-hl: 12
vbg|:-hl: 2
ppss-nc|in: 9
,|ppss-nc: 2
ppss-nc|,: 2
pps-nc|,: 2
,|pps-nc: 2
md|fw-nns: 2
ppss-nc|vb: 1
cc|ppss-nc: 1
pn-nc|cc: 1
,|pn-nc: 1
pn|bedz: 76
ppss+md|vbd: 7
jj-tl|vb: 29
pn|vbd: 114
jj-tl|--: 7
vbd|np-tl: 51
jj-tl|vbd: 24
dti|ppo: 32
pn|ex+bez: 12
md*|.: 15
bez*|ex: 10
ap|bez*: 2
rp|jj: 13
pn+hvz|at: 1
rb|pn+hvz: 1
.|ben: 18
''|ber: 8
''|dod: 4
ppo|cc: 24
.|jjt: 35
bed|wps: 96
ppls|vbd: 44
bed|np$: 2
''|md*: 11
np$|pps+bez: 2
vbd|beg: 1
do|ppo: 22
vbg|np$: 23
np$|ppss+ber: 2
abn|np: 5
in|dt+bez: 3
do|--: 4
vb|vbd: 17
in|cd-hl: 3
np|ppo: 25
vb|in: 38
wps|vbd: 8
abn|vbn: 44
:|rp: 8
pp$|:: 14
pps|ppo: 58
pp$|ben: 14
,|pp$: 5
vbg|nn-tl: 39
hvd|wrb: 8
nn|hvd: 70
nns-tl|cs: 15
nn-nc|``: 30
''|nn-nc: 35
at-tl|in: 115
nps|vbn: 13
jj-nc|nn: 6
vbz|jj-nc: 2
abx|.: 80
pp$|bed: 16
beg|.: 15
in|beg: 39
bedz|ppo: 49
hv|np: 39
ql|abx: 5
,|hvd: 32
dod|ppo: 5
pps|np: 47
nps|vbg: 12
ap|hv: 49
wql|nn: 14
dod|--: 2
bez|ap: 34
vb|wdt: 175
jjs|pp$: 23
bedz|cs: 24
dts|--: 11
ber|dts: 69
np|wpo: 30
np|bedz: 113
jjs|np$: 11
bed|wpo: 9
ber|--: 13
vbz|nr: 9
dti|rbr: 2
ppl|,: 9
at|jjt: 4
--|fw-nn: 5
vbn|--: 43
md*|ppls: 2
:|cs: 15
dt|): 7
be|nn: 121
at|): 81
:|vbn: 45
nn-nc|:: 3
--|nn-nc: 2
nn-nc|.: 1
beg|nn: 64
bez|od: 7
ber|cs: 19
cd|dts: 74
*|nns: 43
abn|wrb: 18
dts|vbg: 49
bez|rbr: 4
dti|wrb: 15
wrb|): 15
cs|ber: 19
cd|): 33
cc|dti: 12
in-hl|nns-hl: 108
np-tl-hl|in-hl: 2
nn-hl|np-tl-hl: 1
.-hl|nn-hl: 135
pps|.-hl: 12
ap|hvz: 28
ap-hl|in-hl: 4
nns-hl|ap-hl: 10
jj-hl|nns-hl: 10
.|nn-hl: 8
:|ber: 13
cd-hl|:: 19
.-hl|cd-hl: 226
cd|.-hl: 16
in|.-hl: 75
bez|): 59
jj|wp$: 35
)|np-tl: 15
np|.-hl: 18
vbg|hv: 10
np|ap: 85
hv|nn-tl: 15
:-hl|nn-hl: 62
nns-hl|:-hl: 2
cc-hl|nns-hl: 25
nns-hl|cc-hl: 20
nns|nns-hl: 7
at|.-hl: 97
hvg|nns: 17
jj|hvg: 10
rbt|vbn: 4
.|rbt: 9
jj|rbr: 25
nns-hl|.: 139
.-hl|nns-hl: 80
cs|.-hl: 33
vb|dts: 16
vbg-hl|.: 53
at-hl|vbg-hl: 12
nns|nn-tl: 270
od|.: 52
,|od: 86
:|vb: 48
or|jj: 1
vbn|or: 1
nn-hl|at-hl: 160
vbn-hl|nn-hl: 35
.-hl|vbn-hl: 7
nn-hl|.: 368
jj-hl|in-hl: 38
nn-hl|in-hl: 133
nn-hl|nn-hl: 204
hv|abx: 5
dtx|,: 5
md|abx: 2
(|,: 47
np|abx: 32
nns-hl|vbg-hl: 38
ber|vbn: 35
.|cd-tl: 159
vbg-hl|in-hl: 21
rb|nns-hl: 12
ex|nns: 28
vbg|vbg: 41
ber|nn-tl: 29
np-tl|cd: 12
hv|wdt: 41
dti|nns: 10
cs|be: 38
cs|cd: 52
|nn: 12
nn|: 15
dts|): 2
jj|od: 87
abn|vbg: 56
wps|cd: 51
(|ppl: 3
nns|(: 44
rp|cd: 16
nn-tl|): 16
(|jjr: 5
in|to: 4
np|np$: 55
nn+nn-nc|cs: 1
,|nn+nn-nc: 1
jj+jj-nc|,: 2
,|jj+jj-nc: 2
ap+ap-nc|,: 1
,|ap+ap-nc: 1
vb+jj-nc|,: 1
,|vb+jj-nc: 1
vb+vb-nc|,: 1
)|vb+vb-nc: 1
beg|cd: 4
rb|beg: 36
vbz|cs: 38
dti-tl|in-tl: 1
np-tl|dti-tl: 1
(|nns-tl: 26
np-tl|(: 4
cd|np-tl: 4
np|cd: 141
in-tl|in: 2
jjr-tl|in-tl: 3
nn-tl|jjr-tl: 8
,|ber: 59
pp$$|cs: 26
(|pp$$: 1
od|dt: 37
'|(: 1
nns|': 12
'|nns: 16
)|': 2
hvg|cs: 13
'|pp$: 2
nn|': 35
'|nn: 46
vbz|': 3
to|od: 17
.|hv: 19
jjr|vbz: 16
'|vbg: 7
jj-tl|': 2
'|nns-tl: 3
,|': 21
dts|nns: 10
3|nn: 1
,|3: 1
'|in: 13
cd-tl|': 1
dts|.-hl: 2
pp$|md: 21
jjr|ben: 7
rbr|md: 11
beg|pp$: 14
do|cs: 14
jjr|vbn: 19
jj-tl|abn: 7
md|jjr: 4
pp$|be: 31
doz|cc: 28
abn|ql: 14
nns|hvz: 16
ex|.-hl: 11
bed|nps: 61
dt|hvd: 16
''|cc: 14
beg|bedz: 35
vbg|pps: 20
abn|hvd: 9
nn|ben: 25
hvd|ex: 42
ppss+ber|cs: 36
--|uh: 13
ql|pps+bez: 46
ppss+hv|jj: 2
rp|ppss: 3
ber*|.: 2
ppss|ber*: 14
jj|ppss: 35
''|bem: 5
np-hl|.: 145
cs|np-hl: 2
vbz|nr-tl: 8
vbg|ben: 212
to|np-tl: 17
nr-tl|vbn: 3
.|nr-tl: 57
*|wrb: 38
hvz|nns: 87
nps|,: 34
vbd|nps: 100
dt|ben: 10
jjr|cs: 16
wps|nps: 34
jj-tl|.: 93
ber|ppls: 11
nps|vb: 7
vbd|cs: 15
wrb|np: 47
ex|nr-tl: 1
ppls|wps: 1
dts|ap: 2
nns-tl|ap: 21
bed|nns-tl: 34
at|np-tl: 12
ppss+hv|,: 23
hvz|np-tl: 14
(|md: 6
bez|ppo: 41
abx|ppss+bem: 1
md|rp: 5
doz|,: 25
at|doz: 34
ppss+hv|nns: 10
ex|np: 8
16''|nn: 2
''|16'': 5
ap|bed: 45
rp|in: 14
dod|wdt: 28
pn|wdt: 32
abl|.: 37
ber|wdt: 154
cs|dti: 6
beg|bez: 56
hvz|cs: 12
nns|be: 46
nns|*: 30
abx|np: 4
dti|(: 3
ber|np: 55
vbn|): 31
nil|nn: 2
vbz|nil: 2
vbz|ppl: 14
jjr|to: 2
vbn|jjr: 10
vbz|vbn: 14
nn-hl|at: 3
hv|ex: 25
dod|nn: 88
ber|vbg: 13
rbt|vb: 11
(|at: 15
jjr|vbg: 27
rp|bez: 23
to|be: 28
abn|): 3
rp|``: 7
vbz|'': 57
(|rb: 34
nns-hl|nns-hl: 5
np|nns-hl: 14
jj-hl|jj-hl: 7
(-hl|nn-hl: 5
np-hl|(-hl: 82
)-hl|np-hl: 82
nns-hl|)-hl: 2
sec|cd: 3
bedz|sec: 1
nn|sec: 1
in|sec: 1
bedz|vbn: 34
hvg|nn: 15
pp$|nns: 41
cd|nn-tl: 33
nn-tl-hl|:: 2
cd-tl-hl|nn-tl-hl: 16
.-hl|cd-tl-hl: 11
nn-tl|dt: 109
jj-nc|': 1
nn-nc|jj-nc: 4
'|nn-nc: 1
vbn-tl-nc|': 1
nns-tl-nc|vbn-tl-nc: 3
'|nns-tl-nc: 1
nn-tl-hl|.: 39
cd-hl|nn-tl-hl: 12
(-hl|--: 9
vb|)-hl: 32
cc|jjt: 39
(-hl|.: 90
np-hl|(: 1
)|np-hl: 1
nn-tl|(: 88
jj|hvz: 48
(-hl|cc: 7
at-tl-hl|(-hl: 3
)-hl|at-tl-hl: 3
nn-tl-hl|(-hl: 5
)-hl|nn-tl-hl: 4
jj|jj-tl: 20
ppss-hl|(-hl: 2
)-hl|ppss-hl: 2
(-hl|.-hl: 7
nn|)-hl: 12
be|,: 43
cc-tl|,: 8
abn|)-hl: 1
vbn|nns-tl: 10
,|dti: 14
be|): 3
at|)-hl: 36
pn|)-hl: 2
:|nns-tl: 12
nn-tl|.-hl: 3
)|(: 1
nn-tl|dti: 8
cd-hl|(-hl: 54
)-hl|cd-hl: 77
(-hl|nns: 1
in-hl|(-hl: 1
cc|nn-hl: 4
cs|)-hl: 7
nn-tl-nc|``: 3
''|nn-tl-nc: 3
nn-tl|ap: 28
jj|)-hl: 11
2|in: 16
nns|2: 20
np$-hl|at-hl: 1
'|np$-hl: 1
jjt-hl|': 1
nn-hl|jjt-hl: 3
'|nn-hl: 5
nn-tl|': 8
nr|np: 31
vbd|nr: 25
--|be: 3
md|jj-tl: 9
jj|jjs: 24
bez|jj-tl: 2
doz|nn-tl: 7
md|'': 37
bez|in: 16
to|nps: 16
rp|nn-tl: 5
jjs|cd: 16
dts|wdt: 13
hvz|ppo: 5
nn$-tl|nn-tl: 34
nns|nn$-tl: 33
rb$|pn: 9
nns|rb$: 2
md|nns-tl: 39
bez|nns-tl: 25
nn$|ap: 27
wdt-hl|.: 21
at-hl|wdt-hl: 2
doz-hl|nn-hl: 1
at|doz-hl: 1
rb-nc|at: 1
nn|rb-nc: 1
pps|in: 12
nn$-tl|dti: 2
jj|nn$-tl: 46
nn$-tl|at: 157
nn|nn$-tl: 131
rb|nns-tl: 21
(|do: 1
vbg|(: 22
)|vbg: 13
jj|nn-tl: 31
at|dts: 4
rb|dts: 31
nn-tl-hl|jj-hl: 4
at|nn-tl-hl: 3
dt|nn-tl: 8
vbn|ppl: 20
pp$|dod: 16
to|jjt: 19
nr|np-tl: 5
nn-tl|nns-tl: 203
in-hl|vbg-hl: 13
np-hl|in-hl: 33
at|np-hl: 10
ex|*: 2
nn$|nn-tl: 2
hvd|cs: 9
ap|be: 39
ppss|cd: 17
pps|nn-tl: 12
hv|abn: 11
np$-hl|nn-tl-hl: 1
nn-hl|np$-hl: 3
nn-tl|nn-hl: 4
jjt|cd: 6
